board,decision
   X     ,5
  O     X,7
         ,5
  X      ,6
O OO XX X,8
X  XXOOXO,3
X   OX   ,7
OO X  X  ,6
O  XOXO X,3
OO XX O X,6
  O    X ,7
  O  X OX,5
OO XOX X ,3
 OXX XO O,5
 X       ,8
         ,9
OX XOOXOX,3
  X      ,2
OXO X X  ,8
 OXO  XXO,5
 X XO    ,7
   OO XX ,9
       X ,3
  X OXXO ,2
  XO X   ,9
  OXOX  X,7
O     X  ,3
XX O  OOX,5
 OX XX  O,4
         ,7
 XXO  XOO,1
         ,3
        X,8
XXO   OXO,5
O OXO XX ,9
OXXXX OO ,9
 X  O  X ,3
 O  X   X,7
OX XOX   ,9
X   X   O,8
 O  XOXXO,3
         ,9
   O  X  ,5
OXO XXXOO,4
         ,6
OX XOXO X,3
XO  O X  ,4
        X,7
X   X   O,3
   X     ,9
X X  OOXO,2
   XX   O,6
O  X  X O,3
X X  XO O,8
   XO    ,9
  X      ,5
         ,1
    O  X ,3
         ,7
  XXOOX O,1
 XOOX XOX,6
  OX O  X,7
XO  X    ,8
    XO   ,3
O  XO X  ,9
O  O  XX ,9
   X     ,1
  O  XOX ,5
X  O    X,5
         ,3
XO    XO ,4
  OOXXOX ,2
O    X X ,5
XO XOO XX,3
 XO      ,1
  X      ,6
    O   X,6
 X O X O ,7
 X       ,5
 O  X    ,3
   XX OO ,6
 XXOX O O,8
  X   O  ,1
X      O ,5
O X X  O ,7
 O  X X O,3
         ,5
  OOX OXX,2
         ,5
      O X,1
OXX OXO  ,9
   XX O O,6
      X  ,5
OO     XX,7
O  OXX OX,3
  OX  X  ,1
  X  X O ,9
      OXX,5
       X ,1
OOXXX O  ,6
O      X ,5
XOXOXXO O,8
X  OXOX O,3
X X  OOXO,2
 O     X ,3
  X  O  X,7
  O  XXO ,2
O X   O X,6
X  XOX  O,7
XOO     X,5
OXOXOXX  ,9
       XO,3
 O      X,5
         ,1
X  OX XOO,3
OO XX    ,6
  X      ,9
   X O X ,7
XOOOX XX ,6
O  X     ,5
 XO      ,1
XX  OOX O,4
 X  O   X,4
OXO  O XX,5
   X O X ,2
X X OOXXO,4
   X    O,5
         ,7
X OO X   ,9
X OOX XO ,9
 OX      ,9
O    OX X,8
         ,7
XOXXO O  ,8
   OX  X ,2
O XX  X O,5
OXOX  XOX,5
XO   XXOO,4
         ,7
   X XO  ,5
         ,7
         ,7
 O X X   ,5
   XO   X,8
  XX    O,1
 X       ,9
  OXO  XX,7
XO  OO XX,7
   O X OX,3
   O  X  ,3
OX OOXXOX,3
   OX O X,1
 OXX OX O,1
  X      ,9
   XO    ,2
 OXXOOX X,8
XOX O X  ,8
   O    X,7
  O XXOX ,4
   OO X X,8
XXOOO XOX,6
   OX  XO,2
X  X O   ,7
O  XXO OX,3
         ,6
  X      ,5
O OX X X ,2
 XXOX O  ,1
       X ,5
XXOOX XOO,6
     OX  ,5
 OXOOXXX ,1
O  XOXX  ,9
XXO XO   ,9
 XXXOOO  ,1
X XOO    ,2
OXO  OX X,8
O X X  O ,7
         ,7
  X XOOXO,2
O X X OOX,6
 O X X   ,5
   X  XO ,1
  XXX  OO,7
X X O    ,2
 X       ,1
XO   X O ,5
 X X  O  ,6
 OXO  OXX,6
O   X    ,3
         ,9
  O     X,1
X        ,5
   X     ,1
         ,5
  X X  O ,7
OX  O  X ,4
X    XO  ,5
  XOXOOX ,2
    X  OX,1
 OOX  XOX,1
XO X  O  ,5
         ,4
O  X XO  ,5
X  XO    ,7
 XXOO O X,1
  X   O  ,1
         ,9
XX     OO,3
X  OO  X ,6
 O    X  ,3
O XX  X O,5
    X O X,1
 X  XXO O,8
   X     ,5
      X  ,9
         ,5
   XO XO ,1
X        ,4
O X      ,5
X XOO X O,2
 X O OOXX,5
 XO  XX O,4
  OXOX X ,7
O XXXOOOX,2
  X      ,5
 XO  X   ,5
 X XOOX  ,1
OX XOXOOX,3
 O O   XX,7
OX O X   ,7
O  XX X O,3
X  XOXOOX,3
OX  XX O ,4
  XO XOX ,1
O      X ,5
     XOXO,5
   X X O ,5
 OXX  OX ,6
XXOOOX X ,7
  XO XO  ,9
  X  O   ,8
OX     OX,7
X     XO ,4
 OX  OX X,8
         ,5
O OX X   ,5
 XO X X O,6
X  XOO   ,7
O  XO XX ,9
  O O  XX,7
         ,5
X OX    O,7
   X     ,1
  OXO X X,8
 XOX    O,6
 X X   OO,1
         ,3
O X O  XX,7
         ,1
X X XO  O,2
  X      ,9
 XOOOXXXO,1
 OXOXX   ,9
    X    ,6
OX XXOO  ,8
 OO XXO X,4
   XOO  X,7
XO XXOOXO,3
X    O   ,3
 OO XO XX,1
         ,9
  OX O X ,1
 X X    O,1
O X  OX  ,5
O   X    ,3
X  X O   ,7
 X       ,8
 XX O OX ,1
 O XOO XX,7
XO   OX  ,4
XO    O X,5
O  XO  X ,9
  O  XOXX,5
 X       ,1
XX O  OOX,5
X  O XOOX,3
         ,7
 OX  X   ,9
 OXO  XX ,5
XO  O X  ,4
         ,6
O X     X,6
XOX XO O ,7
X OO X  X,5
  X OX O ,9
OX XOXO X,3
XXOXOX O ,7
XX OXOXOO,3
O  X   OX,3
         ,9
 X       ,8
 XOX   O ,6
   X     ,5
   OX  XO,2
    X O  ,1
  X  O  X,2
O   X  XO,2
     XO X,3
   OXOX  ,3
XOXOO OXX,6
  X  O   ,4
X X OXXOO,2
X    OXOX,2
XOOOXOXX ,9
  O XXO  ,4
OXX XOOOX,4
 XOXO X  ,9
X  O X   ,5
XOOXX OX ,6
  X      ,9
    X  XO,2
XX OX  O ,3
     X   ,3
 XO      ,5
XO OOXOXX,3
O XX  X O,5
  X    O ,5
XXOOX O  ,8
X OXOX O ,7
  XOXO OX,7
X     O X,5
    X    ,3
  OOXXOXX,1
 OXXO    ,8
   X     ,5
XXO O   X,7
X  OO X X,6
         ,9
         ,3
OO XX    ,6
 OXXO   X,8
         ,2
 X       ,9
OXX   O X,4
OOXXX  XO,6
    X XOO,3
 X O  X O,3
 OXXXO OX,7
 XOOOXX  ,8
   X  O  ,5
  X O    ,8
XOXO  X  ,5
     X XO,5
 XXX OXOO,5
 XO  X  O,7
O   O  XX,7
 X OO XXO,1
 O     X ,7
   O XX  ,5
     O X ,3
X XXOO O ,7
         ,2
XXOXO  O ,7
X  O     ,5
OXOX XOOX,5
      X  ,3
    XOX  ,9
   XOX O ,9
X O  OOXX,5
OO X X   ,5
    X OOX,1
  XX O   ,1
 O XX OOX,6
  O XX   ,2
       X ,5
O   O X X,8
OXXXO    ,9
XX    OOX,5
         ,5
XOXXOXO  ,8
 XXOO  X ,6
 X  X O  ,8
X    X O ,5
 OOX XXOX,5
 XOXOOXOX,1
OXOXX  O ,6
         ,5
O  X     ,5
 O XXOXXO,3
    X    ,7
  X   O  ,9
O   XO X ,2
O  X     ,9
X    XO  ,5
 O  XO  X,1
  XX  OO ,9
  O     X,2
         ,7
XXOO X OX,5
XO OXXXOO,3
        X,7
O  OX XXO,3
         ,9
    XOXO ,3
OXX      ,5
    XX OO,4
XX    O  ,3
OOXXO   X,6
XOX OO XX,4
XXO OOXOX,4
 OOX  OXX,5
X       O,3
 O  XXOOX,4
O   O  XX,7
   OX X O,3
OXO  O XX,5
 X XO    ,9
         ,4
  X OOX X,4
         ,7
   X     ,9
X     O  ,5
       X ,7
   X  O  ,1
 O    XXO,3
 XO  OXX ,9
      XO ,2
XO XXO O ,7
X X OOXOX,2
OXOX O XX,7
OX O XXXO,5
 OX X   O,7
XOXX XOO ,9
OXO XX O ,4
     XO  ,5
X    OX  ,5
 X  X OO ,9
XOXX XO O,8
X XO O OX,2
X OX    O,7
XO  O X  ,4
         ,7
XXO  OX  ,9
 O   OX X,8
O X OXX  ,9
   X   O ,6
  XX    O,5
 X       ,5
XOOXX    ,6
XX X OOOX,5
XX O OX O,3
O  X  X  ,3
XX   OO  ,3
         ,7
OXX X OOX,4
      XO ,5
OX  X O X,4
XOXXO OXO,6
      X  ,1
X   OXXO ,2
 XOO XX  ,5
X X  OX O,2
OX XO  X ,9
         ,8
OOXXO  X ,9
 O X     ,5
XXO O    ,7
X  OXXO  ,9
 X  O    ,1
 X O  X  ,5
O    X   ,7
    X    ,1
         ,3
 OO   XX ,9
O XOXX O ,7
 X     XO,5
XOX XXO O,8
X  O   X ,5
  XX    O,7
         ,9
OO    XX ,9
O X  OXOX,5
OXOOX XOX,6
XO O X X ,3
O  X  X  ,3
  X      ,8
XX OOXXOO,3
XOOO   XX,7
 XOO OX X,8
  O   X  ,1
         ,3
XO   XXOO,4
 O XX O X,1
  OX XXOO,1
X O XO X ,9
X        ,7
XOXX  OXO,5
         ,7
OX OXOXOX,3
   OXXXO ,3
OX   OX X,8
X OXO  XO,7
 XX  X OO,7
  X      ,7
    XOX O,3
 X X  O  ,9
 X O  X  ,3
XO   OOXX,5
O X XXOXO,4
         ,5
 XXO  O  ,1
XXO  OXO ,4
         ,8
        X,4
         ,4
 XXOO OXX,1
   X     ,7
OX       ,4
     X   ,3
O  X     ,5
       X ,4
     OX X,1
 XX O    ,1
  XX OXO ,1
   XXO   ,9
    X    ,7
XOOX X O ,5
  OOXX  X,1
 XXO O  X,5
XO    XO ,4
         ,1
 X  X OO ,9
O XX X  O,5
         ,3
         ,5
 X       ,1
 XX OO XO,1
         ,5
X   XOO  ,9
  XOX  XO,7
O       X,3
O   XXO X,4
         ,5
         ,1
 XXOO XXO,6
         ,5
   X   XO,5
 O OOXXX ,9
 XO OXXXO,1
 OOXOXX  ,1
X OXO  XO,7
OX    OXX,4
X OX  OOX,5
 O  X    ,9
X   O OXX,3
 OOOXX  X,1
         ,9
 XXXOO O ,1
XOOX X OX,5
      X  ,8
XXO  OOXX,5
  XO     ,1
        X,5
         ,1
O   O  XX,7
  X OOOXX,4
XXO  XOXO,5
   XOXXO ,2
  OX XO X,5
 X O   X ,5
     X O ,9
 XOXX O  ,6
XO XO  X ,7
        X,6
 X O  OX ,5
  X   O  ,1
OXO  XX O,5
  X  X  O,5
O   XXOXO,2
         ,7
O OOX X X,8
 XXOO XOX,6
  O XX   ,7
OX   XXO ,9
 X X OX O,3
O  XXOOXX,2
   XO   X,7
    X   O,8
  XXXOOXO,1
XXOO  XXO,6
O    OX X,8
O    X X ,5
  XX O  O,1
O OXX XXO,6
OX  XXOOX,4
     OX X,8
OXXXOOOX ,9
XOX  X  O,8
   XX O  ,6
   X     ,9
         ,5
O XXX  OO,6
X  OX OXO,2
XX  OX  O,3
OX   OXOX,3
OXXO  XOX,6
 OX X   O,7
 X    O  ,5
X O    OX,5
         ,6
         ,7
  XO   XO,1
  OXXOX  ,9
  X   O X,1
      XXO,1
XXO O XXO,6
         ,8
     OX  ,5
XX   O O ,3
XOX   OOX,6
O  XX   O,6
         ,5
   X    O,3
X  O     ,6
X X OOOXX,4
   XOX   ,2
  X XXOO ,9
OXXXOXOO ,9
OO  XXOX ,4
 X   X O ,5
      X  ,1
   OX   X,1
OX O   X ,5
   X     ,7
 O X     ,5
 X OX    ,1
   X X OO,5
 OOXX XOX,1
XO  X OXO,4
O X X O  ,4
 X       ,8
O X X    ,2
X  O XO  ,5
   X     ,3
X  X   OO,7
 XO  XXO ,5
X O     X,4
XXOO XOX ,5
    X  O ,9
XO OX OX ,9
OX   X   ,5
OO X   XX,3
  XOXOO X,1
     O X ,5
 X XOOOXX,3
  X      ,5
  XOX OX ,1
 O XX O  ,6
OXX O O X,6
  OX  X O,1
         ,7
XO    X O,4
  XO O X ,5
    O  X ,4
 OX     X,6
         ,7
X        ,5
X OOO XX ,9
  XOO  XX,6
         ,9
     X   ,5
         ,5
  OOXXXO ,1
         ,8
X X   O  ,2
        X,4
  OX X   ,5
         ,7
         ,5
XOX    OX,5
X XOO  XO,2
XOOXX OXO,6
   O   X ,7
  XX  O  ,9
OXOXXO   ,8
X        ,3
         ,5
 OX    XO,1
X XXO OO ,2
O  X OOXX,2
   OX  X ,7
         ,9
         ,9
O O X OXX,2
O  OXX   ,7
         ,3
OO  X X  ,3
       X ,5
OXXXXOO O,8
 XOX O OX,1
         ,3
X    XO  ,9
O  X XXOO,5
 X       ,3
O   OXOXX,3
 XXXOX OO,7
O OXXO  X,2
XXOXOX  O,7
  O     X,5
         ,2
X XOOXXOO,2
         ,1
  X  O   ,5
XOOX     ,7
X       O,7
OX O X  X,7
O  X O  X,7
  X  X  O,5
         ,5
  X XO  O,7
XO X O   ,7
 XXOXO O ,1
         ,5
   X O   ,3
 X       ,8
         ,3
O     X X,8
 X O X  O,1
OXXX X OO,5
O X      ,9
 X   O X ,5
   X     ,5
OX  X    ,4
      X  ,9
 O   X  X,3
 O    X  ,5
         ,3
 X       ,8
 O X     ,1
 X O O  X,5
OXX XO  O,8
  O    X ,7
     X   ,3
 OOXX XXO,6
O X  OXX ,9
  O  OX X,8
O X  OX  ,5
XOXOO X X,8
OXO OXXX ,9
  OXO XX ,9
     X   ,9
    X    ,7
   OX  X ,9
X   O   X,7
XXOO O  X,5
 X O O X ,5
XX  OOX O,4
      X  ,8
XXOXOX OO,7
 O     X ,3
         ,7
    X   O,7
X XOOX   ,2
  X      ,9
O   X  X ,7
XXOOOXX O,8
    X   O,8
X OOXOX  ,9
    X    ,9
   X     ,1
   OXXXOO,3
 X O XO  ,9
X  O O XX,5
O  OXXXOX,2
 OXXX  OO,6
  XXXOO  ,9
O OXX X O,6
X OOOXXOX,2
 O  X XO ,3
   O X  X,3
         ,1
     X   ,3
 X OXOXOX,1
XOO OXX  ,4
 O  XX   ,3
X  XO    ,7
 XX OO   ,1
X  XO O  ,2
X  O  X O,6
    X    ,2
OO XXOX  ,3
X XO OX  ,5
     X   ,4
XX X   OO,7
XX O O   ,3
     XX O,5
 XXX OOO ,1
 X    XO ,1
X      O ,7
         ,9
X   XXOO ,9
  X      ,6
  X  XO  ,9
   O    X,1
  OXX    ,6
XOX   OX ,4
 X OO  XX,6
OX XO  OX,3
 O XX  XO,6
  XOXO OX,7
  XXOXXOO,2
O X   X O,5
       X ,5
O       X,2
 OX   XXO,5
 O    XOX,5
XOOXOO XX,7
OOXOXO XX,7
 XOOOXXXO,1
  OXX X O,6
    X   O,7
O O XX X ,2
OX XX OOX,6
X        ,5
X      OX,5
         ,5
 X O     ,5
XO OXXX O,8
 OO    XX,7
X OX XOXO,5
OO OXXXXO,3
X OXXOO  ,9
OO XXOXXO,3
 OOX X  X,1
 X OX OOX,1
   XOOX X,1
  O XX   ,4
OXOXX XO ,9
 XX   OO ,1
 O    XOX,1
X  OO  X ,7
X  O O XX,5
XXO   O  ,5
       X ,9
 XX O  OX,6
     X   ,7
 X O O XX,5
 OX X  O ,7
 X O X XO,5
 OXO   X ,5
        X,5
         ,7
 X XOXOXO,1
  XO  X  ,9
    X   O,7
OO  XXO X,4
   X     ,7
 O    X  ,1
X  X  OOX,5
   X XXOO,5
XOX XXO O,8
OXOX   OX,6
 O X  X  ,1
X        ,4
OOXO XXX ,9
  XXO O X,6
 XO  X O ,5
O  XX   O,6
X    OXOX,5
XO OX  X ,9
         ,5
XX  OX O ,3
   X O   ,3
  X      ,1
 XO X O  ,8
 OO X  XX,1
XOXXOXO O,8
 OXO OXX ,5
XOX   OOX,6
X  XOO XO,7
XO XOXO X,8
  O XO X ,2
         ,5
 O XOXX O,1
O X  XO  ,9
O XXOOX X,2
O O XXXOX,2
  X    O ,1
       X ,7
XX OO OXX,6
XXOXOO OX,7
  X      ,1
 XO  XOOX,5
      X  ,1
    X    ,9
 XX     O,1
    OX   ,3
 XXX OO O,1
X X    O ,2
X OXOO  X,7
OXXXO O X,6
     X O ,7
     X   ,5
    OX X ,9
X OOXO X ,9
  O XOOXX,1
 X  OX XO,1
         ,7
    X    ,8
      X  ,3
 O X  X  ,1
X OO XX  ,5
   OXX   ,9
         ,3
O XOO X X,8
XXOO O X ,5
OO  OX XX,3
 OX X  O ,7
 X       ,1
   X XO  ,9
  XO     ,1
  OX O  X,7
         ,5
O  X XX O,5
   X     ,2
O  OXOXX ,2
XOOOX XX ,6
    O X  ,8
  OX     ,7
XOXXO OXO,6
   XO    ,3
O XO X XO,7
       X ,6
  X  OX  ,5
OXO  X OX,4
 XXOOXX O,1
X     O  ,3
X    O   ,5
  OXXO  X,1
OO XX  OX,6
         ,5
 X  O    ,1
X        ,3
XO   XXOO,4
  X      ,1
X O XXOXO,2
 XO OX   ,1
O XX X OO,5
   OOX X ,7
         ,5
XXOO XXOO,5
   X X  O,2
 O  OX  X,3
  O   XOX,1
 XX OOXXO,1
X O OXXXO,4
      O X,6
X     O X,5
XOO O XX ,9
X        ,6
     X   ,4
         ,5
 X  OX O ,9
OXX OXO  ,9
 OX      ,6
X   X   O,8
 X O X   ,3
OOXX XXOO,5
 X  OO X ,4
  XX O  O,1
         ,5
 OO  X  X,8
X   O  XO,7
 XO X O  ,8
XX   O XO,3
XXOO  OX ,5
 X    O  ,1
OX   X   ,5
    X   O,7
  XXO    ,9
 X   X OO,7
 X O XOX ,1
 XOO  X  ,8
OXOOXX  X,7
 OXOO  XX,6
        X,6
     X   ,9
O X    X ,4
 XO O   X,7
   X   OX,2
XO X  OXO,6
   OX    ,1
         ,5
 X  O O X,3
   OXX  O,8
O OO X XX,7
OX   OXOX,3
  OXO   X,7
X XXOO OX,2
OXO X XO ,6
OO X  XX ,3
   X   OX,5
X  O    X,5
    X    ,9
XX   X OO,7
 O   OXX ,9
OXOXO  XX,7
OX      X,7
         ,5
     X   ,5
 OX   OX ,1
 XOX     ,7
  O    X ,9
 OX     X,5
        X,5
O   X XXO,3
 O OXX X ,1
         ,5
  OX O XX,7
OXOX OX  ,9
O     X  ,5
O OOXX XX,7
  X XO   ,1
       X ,7
 XOXOX   ,7
 O  X X  ,3
 O  X XOX,1
        X,3
  OOOXX X,8
 XXXOO  O,1
X XOOX   ,2
OXX  OX O,5
O  O   XX,7
X XOO XOX,6
  OOOXXX ,9
 XOX    O,5
OX  X    ,7
XO X O   ,7
  XXOO  X,8
X X O OXO,2
XX X  OO ,9
         ,5
XOX O  X ,4
 O   OXX ,9
         ,5
X   OX O ,7
         ,3
   X O  X,5
XOX X   O,7
OXO  XOXX,4
 XXO O   ,1
 X       ,1
    X    ,8
  X O X  ,1
 X    O X,4
      X  ,5
X   X O  ,9
  XX  XOO,5
X O XOOX ,9
O    X X ,7
  X  OXO ,5
O   X  X ,7
   X   O ,7
 X XOX  O,1
   X     ,5
   X     ,8
         ,5
OXOX XOXO,5
        X,1
   O    X,7
OOXX  X  ,5
 XO X   O,8
X   X OO ,9
         ,1
    X X O,2
O  XOX OX,3
XOOX   X ,7
  OXOX   ,1
 OXO  X X,6
 OO X   X,1
 XXO O   ,1
     X   ,2
O XOX   X,7
  X    O ,7
         ,7
O   X    ,7
         ,7
         ,3
X XOX   O,2
OXXX OXOO,5
  X      ,7
O XO  X  ,5
         ,9
OX X X  O,5
 X       ,5
   X     ,7
X XOXO O ,9
XXO   OOX,5
X XO XXOO,5
X OX   O ,7
    O X  ,4
  X O X  ,6
XOXO   X ,7
  OOOXX X,8
        X,5
OXXX  O  ,9
     X   ,5
X  OOXXXO,2
         ,5
 XO X X O,6
OOX XXO  ,4
OOXX XOX ,9
 O O XX X,8
         ,1
         ,3
    X OXO,2
         ,9
         ,1
         ,5
  O X    ,1
 XXX   OO,7
OXXX XOO ,9
XO X X O ,5
         ,5
XOOX X  O,5
XXOOX O  ,9
O  X  X  ,2
OO  X OXX,4
     X   ,9
 OOX  X X,1
     XX O,1
OOX X    ,7
         ,5
   XO   X,7
O X OX X ,9
 OXX OO X,5
XO       ,5
OXOXOOXX ,9
XXOO     ,5
         ,5
X        ,4
   OXOOXX,2
OOXXOO XX,7
   O X OX,3
  X     O,1
O O XXOXX,4
XO   X   ,5
O X OX X ,9
XOXO    X,5
     X   ,3
 OX   XOX,5
     XXO ,5
         ,3
X O      ,5
 X X OXOO,1
XOXXOO XO,7
  X      ,7
X X O   O,2
XOX     O,7
X O X    ,9
         ,1
 X OXXO O,8
 OOOXX XX,1
O   X  OX,6
OXOXX O  ,8
         ,9
         ,3
         ,7
X  XO OXO,3
 X    O  ,9
   X     ,5
        X,3
 XX OO OX,1
OXX  OOXX,4
         ,5
OX OX   X,7
X O    X ,9
 X       ,1
     X   ,9
X X OO XO,2
 XXXOXOO ,9
XOXO OXXO,5
X O   XO ,4
O   OX X ,7
 OO XXXO ,4
O X  OXXO,5
O X    OX,6
 XXOOXXOO,1
   X   OX,5
    X   O,8
 O     X ,3
 OX    X ,7
 O     X ,9
OOX X O X,6
         ,9
X  XOO   ,7
   O X   ,9
X   O  XO,3
   X  O  ,5
   XXO  O,7
      XO ,5
 OOXOXX X,8
 XOOOXX  ,8
OXOXOOX X,8
  O X   X,1
 OXX    O,5
X       O,3
OXXXOOXO ,9
O O  X X ,9
 X  XOO  ,8
XX  XOOO ,3
O XOX  X ,7
OXX   XO ,5
         ,3
       X ,5
         ,4
 X O  OX ,5
O X      ,9
         ,3
XXO O  OX,7
         ,7
 O O XXXO,3
O XO OX X,5
  X      ,1
  OXX   O,6
        X,3
       X ,7
    O  XX,7
  X   O  ,9
XX X OOO ,3
    XOX O,3
 X OX   O,8
   XO    ,7
 O   X  X,3
 XX  O O ,1
OX  XOXO ,3
X      O ,5
XO O XOXX,5
         ,9
   OO  XX,7
 X  O    ,1
OXX  OXOX,4
O    XX  ,3
XO  XXO O,4
  XO  XOX,5
XOXXXOO O,8
OXX O    ,4
 O  X    ,1
X O O XOX,4
         ,5
         ,9
         ,5
  X  XO  ,9
 OXX XXOO,5
  X  X O ,9
XOX  X  O,8
       XO,1
X   XO O ,9
 X    X O,4
X OOO  XX,7
         ,5
 X    O  ,5
         ,8
 XXOOXOXO,1
X        ,6
O    X   ,3
 OXX XO  ,9
OXXOXO  X,7
OOXXXOO X,8
  O    X ,5
         ,7
    O   X,4
 X       ,5
  X      ,7
    X    ,9
XX  OXOOX,3
X   O  X ,7
 X OOXOXX,1
X        ,5
         ,6
 OX      ,6
      O X,6
OXOOXX OX,7
  O XX  O,4
  XOXX  O,7
X  XOO   ,7
         ,5
OXX X OOX,4
O     XOX,3
    X    ,1
XO OXXOXO,3
       X ,9
OXXX OX O,5
 X  O  X ,1
  XXOX  O,1
 XX    OO,1
XX XO OO ,3
 OXX  O  ,5
 XO      ,9
         ,6
 X   X  O,5
 XXXXOO O,8
     O XX,7
X XO  O  ,2
         ,3
 OX  X  O,5
         ,5
XOOOOXXX ,9
  O  X  X,7
OOXXXO   ,7
   XX  O ,9
 X  O X O,1
 X   OX  ,5
X X    OO,2
    O  X ,9
    O XX ,9
   XO   X,8
  OX    X,7
 XOX   OX,6
X  XOO   ,7
 O     X ,5
   OO  XX,7
 OXX X OO,5
 XO  OXX ,9
 OOX X OX,5
X XO OXO ,2
XXOX XO O,8
XOXX XOO ,5
X        ,9
 X   O   ,5
  OOX X X,1
XOOXXO X ,9
X      OX,5
OX XOXOX ,3
XX  O O  ,3
XX X O O ,7
X   OXOOX,3
  XX OXOO,1
 O X XOXO,5
         ,8
X OO OXX ,9
         ,1
XX XXOO O,8
X       O,3
 OX XX O ,4
X  O     ,5
 X XOXOXO,1
    X    ,8
  XO O  X,1
OX X     ,5
 X O X  O,1
         ,7
         ,1
   X    O,5
         ,7
 X  O   X,3
         ,5
 O   X   ,3
 O      X,7
O X  X   ,9
 XOX  OX ,5
XO XOX   ,8
   O XXO ,9
  O   XOX,2
OXOX X XO,5
    OXOXX,3
OXXO OX X,5
  XOXOO X,1
 X O X   ,3
XX XO  OO,7
    X  O ,3
 OX OX   ,9
   X    O,5
 X   X OO,1
O X   XO ,5
XOOO XOXX,5
 O XX  O ,6
 OX O   X,6
 XOO  X X,8
 X       ,5
         ,5
XX   OOX ,3
X   XOOXO,2
 O X   X ,7
    X    ,1
 X X   O ,6
    OXX  ,8
XOX X   O,7
OX  OX OX,3
  O  X   ,1
X  O OX X,5
         ,7
 O X   X ,1
  OX X   ,5
 OXOXXOXO,1
O X XX OO,7
 X       ,1
 OOX XX  ,1
 OOXOXXXO,1
XO       ,8
XOXXO O X,8
         ,5
OOXX X XO,5
 X  O  X ,1
         ,5
O  OOXX X,8
      OX ,5
  O   X  ,9
O   XOX  ,3
        X,1
     O  X,7
  XX X OO,7
X O  XO X,5
XO X     ,6
O      X ,2
  X OOXX ,4
  OXOXXO ,1
  X      ,1
X XO X OO,2
 XXO OOX ,1
XOXXXOOO ,9
OO   X X ,3
  O OX XX,7
O  X  XXO,5
  O    X ,5
X X  O   ,9
  O X O X,1
   O  X  ,5
         ,5
  XO XX O,5
OX X  X O,5
 OOXOX XX,1
 O  X  X ,1
 XOXO   X,7
X    XOOX,5
  X OOX  ,1
  O  X   ,7
  X OXO  ,9
X O XXO O,4
         ,1
X O X X O,6
      OX ,5
XO X XOXO,3
         ,5
 XXOOXXOO,1
O X  O X ,9
 XOOX X  ,8
   O    X,7
         ,9
XXOO XOX ,5
X        ,5
         ,5
XO     X ,7
OXOXO X  ,9
O OXOXX  ,2
    OX   ,9
         ,5
XOO  X X ,7
X  OOX X ,2
        X,5
         ,9
OX X  OX ,5
 X       ,3
X   X  O ,9
XO X O   ,7
 X   O  X,7
O OX XX  ,2
     XXO ,3
 O   X X ,5
X O OXX O,4
OX XOO  X,8
X  XOO   ,7
     XO X,3
O X O X  ,9
  X XO O ,7
O O   X X,8
  XX X OO,7
XOXO O X ,5
 XOO OX X,8
OX   X O ,7
         ,5
         ,1
         ,5
 XXOOXO  ,9
       OX,5
XO OXX   ,9
   O XXOX,3
    X    ,9
    X   O,6
OXO X    ,8
 X       ,8
XX OO XOX,6
XOX X   O,7
         ,5
XOO  OX X,8
XOXOOX XO,7
         ,9
   XX O  ,2
 XOOOXXXO,1
X        ,9
     X   ,7
 X   XO  ,3
OXOXO  XX,7
    O X  ,2
X  OOXO X,3
         ,9
XX O O XO,5
X      OX,5
         ,7
XO XXOO  ,9
O  XOOXX ,9
         ,3
OO OXX X ,3
X        ,5
X   X OXO,2
  OOXX OX,1
O XXOXO  ,9
         ,8
OO X   X ,3
   XO    ,1
     X   ,7
 XO      ,5
XO  X O  ,9
O  X     ,8
 X X   O ,5
 X       ,3
XX XXOO O,3
   XOX XO,1
O   X X  ,4
   XX O  ,2
XOO   XXO,4
XXO X  O ,9
 X   O   ,5
    X OOX,1
X    OOX ,3
 O   XX  ,3
         ,5
 OXX  O X,6
  XO    X,6
 XX  O  O,1
    O  X ,1
XOO XOXX ,9
  XO OXX ,5
OO   XOXX,3
  X O XXO,1
         ,9
      X O,5
X   X  OO,7
    X    ,1
XOXXOX  O,8
 OOXXOXX ,1
  X XX OO,7
XO OXX   ,9
         ,3
 X       ,4
XOOOX XXO,6
X   XOX O,3
         ,6
XXO  XOOX,5
 X       ,5
  OXX  O ,6
  OXX O  ,6
         ,5
         ,3
O  X O  X,7
         ,9
         ,5
 X O  OXX,1
         ,4
  XX  O  ,8
         ,5
XXOOOX OX,7
 O X     ,1
X X  XO O,8
         ,3
   O    X,6
       X ,5
         ,5
 OXXOOXXO,1
O O   XX ,9
X        ,5
XOO  OX X,8
OX  XXXOO,3
 OX  X O ,9
O XX OXOX,5
OXXO OXX ,5
       XO,1
         ,5
 X  OOXXO,3
XO X   OX,5
         ,5
         ,7
X X   XOO,2
         ,3
         ,7
OXO  O XX,5
         ,1
 XOOX X  ,8
   OXOX  ,3
X OO   XX,7
X        ,5
     X   ,5
 XOO XOX ,5
         ,4
XX  OOX O,4
 XO      ,4
XX O  XO ,3
OO O X XX,7
    O XXO,1
XO  XXXOO,4
 X X O OX,5
XOX  OXOX,5
     X O ,9
O XXOOXX ,9
OOXX  XO ,5
 XOX   XO,6
 X   OOX ,5
 OXXXO  O,7
         ,1
X  X  OOX,5
  X      ,1
XXOXOO   ,7
