board,decision
X  OO OXX,6
  OOX  XX,1
OX OXXXO ,3
O   X X  ,3
XO       ,8
    XOX  ,3
  O O XX ,9
O O  XX  ,2
 X O X O ,7
         ,5
  OX   X ,9
         ,7
         ,5
OOXX XOXO,5
         ,3
  X O  X ,4
  X O  OX,6
    XO OX,1
         ,9
X OOOXX  ,8
 O  X    ,6
  X      ,5
   OX    ,1
XOXX OOOX,5
 XOX     ,9
  X   XOO,5
X      O ,5
   X XO O,5
XXOOXXO  ,9
XX O O OX,3
  X  O  X,4
X O X XOO,4
         ,1
    OO XX,7
 X O     ,5
         ,5
    X    ,4
O   XOOXX,2
  XOO  XX,6
         ,5
  O    XX,7
O    X  X,3
    O  XX,2
  XX   O ,7
  OXXO OX,1
     X XO,5
 XOX  XO ,1
 XX  O XO,7
OXXOX  OX,7
         ,7
XX      O,3
         ,1
OXOXOX X ,9
X OX XO O,5
        X,3
O XO XX  ,5
OXXX O   ,5
 XO XXO O,4
X   O  X ,4
    XO   ,7
OXOX OX X,5
     X   ,5
XOOO XXX ,9
 OXX OXXO,5
 O XX   O,6
O XXX OO ,6
XO     XO,4
  X      ,1
X X OOX  ,4
OOXXXOO X,8
  X XO O ,7
         ,5
 XXO   O ,1
  X      ,8
 OX X   O,7
O X XO   ,7
   O  XX ,9
OX O  XOX,3
  OX  OXX,5
  OXOXX O,1
 O    XX ,9
X  O   X ,9
 XOXO XXO,6
OXXOO X X,6
O X OX   ,9
XXO  XO  ,5
   XOXOX ,3
   O   XX,5
 X   X  O,5
  X XO O ,7
  XXO OXO,1
      O X,1
X   OO X ,3
   X   O ,5
O XOX  OX,6
    X    ,6
  O XXOOX,4
  X      ,9
         ,5
X  OX    ,9
XO  OXOX ,3
   X     ,7
         ,9
OOXXX OOX,6
   XX O  ,6
OO  X  X ,3
 O   X   ,8
     X  O,5
 X    O  ,4
         ,5
 X XOOXXO,3
X O   X O,4
X OXX  OO,7
  X  O   ,4
 XO X   O,8
O OXO  XX,7
X  X O   ,7
 X     O ,9
        X,5
    X XO ,3
    X    ,4
 O XX   O,6
O   XXOXO,4
  X  O   ,5
OX   X XO,5
XXOXO  XO,7
 O XOXX O,1
  XX O  O,1
OOX O X X,8
OX  XOX O,3
         ,7
 O     X ,3
XO O  X  ,5
   X     ,5
  X  OXO ,5
OX   OOXX,5
OX       ,5
         ,2
XOX X  OO,7
 O X  X  ,1
X   X  OO,3
 X XO O X,3
         ,7
OXXXXO O ,7
 XX  O  O,1
X      XO,3
 OOX  XOX,1
    X O  ,4
         ,7
OX    X O,5
 X  O O X,3
 X XOXO  ,3
X OXXO   ,9
 O      X,5
       X ,5
O O XOXX ,2
  XXXOO O,8
O XXOX O ,9
         ,9
XX XXOO O,8
OO X   XX,3
XO  XO   ,9
      X  ,5
   X X O ,5
    X    ,8
  XOX  O ,7
OX   X  O,4
 X OXO   ,8
    X    ,1
X OX   O ,7
   X     ,7
XXO  XXOO,5
OX XXOO X,8
 OX    OX,6
OO XX OXX,3
XXO OXXOO,4
         ,4
XOX   XOO,4
    X    ,7
X X X  OO,7
XXO XO   ,9
 O  X    ,3
     X   ,9
  X OX   ,9
         ,6
         ,8
X    O   ,5
 OO XX XO,4
   O X XO,5
XXOX OO X,5
 OO    XX,7
         ,5
O   XX   ,3
   X   O ,2
        X,8
        X,5
X  X   OO,7
X X O OOX,6
OO  XX OX,4
      X  ,9
  OXOXXO ,1
  X      ,5
         ,5
   OOXX X,8
 X OX O X,1
         ,5
    OOX X,8
 XX O OOX,6
  XOO   X,6
O X     X,6
OO X XXOX,5
OO  X  X ,3
OXX  X OO,5
       X ,5
OX OOX XX,7
         ,3
X  X O O ,7
X XOOXXOO,2
OXXOX  OX,7
O  O XXOX,3
   OX    ,1
OXOXX OOX,6
  O X X O,6
X XO O   ,2
         ,5
         ,3
       X ,5
  X      ,2
  O  XX O,1
X   O    ,7
  XOXXOO ,9
O OX   X ,2
 O X  X  ,1
   X XOOX,5
         ,3
  O XO XX,2
  X O OX ,6
X O  X   ,9
X O O XX ,9
      X  ,5
 XOOX X  ,8
XO   OX  ,4
 OX XO  X,7
O    O XX,7
XOXO  XO ,5
      X  ,1
O    X OX,3
XO  OO XX,7
 X       ,5
 XXO OXXO,5
     OX  ,9
XX OX   O,3
 X  O   X,3
XX XOO XO,3
OOXXO OXX,6
 XO XXOOX,4
 XXO  X O,1
XO OO X X,8
XO       ,5
OOXXX OOX,6
     X   ,1
  XOO X  ,6
 XXO OOX ,5
 O    X  ,3
 XX XO O ,4
XX  O XOO,3
OO    XX ,9
        X,5
  OXX O  ,6
 X O XOX ,1
         ,5
X        ,2
  XOXOO X,1
OXX   OX ,4
O O X X X,2
 XX O   O,1
  XOOX   ,9
        X,1
    X    ,1
        X,5
O O  X  X,5
OXOXO XX ,9
 O  X    ,3
OXX    XO,5
XXOO XOX ,5
X X  OX O,5
 X XO    ,6
OX  X  OX,4
         ,7
         ,5
XOX    OX,5
 OOXOXX  ,1
 XO  X O ,7
 OX  OXX ,5
   XX   O,8
XOXOXX OO,7
     XXOO,5
X        ,5
XOX OX   ,8
         ,4
         ,1
  O X  OX,1
     X O ,9
