board,decision
X XXO OXO,2
XO   O  X,5
    X    ,2
       XO,4
OXXO X   ,7
  XOX  XO,2
   X   O ,1
 XOO XOXX,1
 XO O XOX,6
OXX  X O ,9
  OXOO XX,7
O  X X XO,5
X X   XOO,2
      XOX,4
  OXX   O,6
XX  O XO ,3
X XOOXOXO,2
OX  X XOO,3
O    OXX ,9
OOXXXO OX,7
XO   OX  ,4
  X   OXO,6
     X  O,2
 X   OXO ,5
  X      ,9
         ,3
 X O   XO,5
         ,4
OXX OOOXX,4
         ,6
   X     ,3
 XXOXXOO ,1
 X       ,1
OXO XXOOX,4
   X O   ,8
X XO O XO,2
X OO X OX,5
 XXOOXOX ,1
OXX    O ,6
 O OXO XX,1
 OOXX OXX,1
 X O  OXX,1
 X XO OX ,3
XOO  XOXX,5
 X       ,1
X  OO  X ,6
   X    O,7
X X OX OO,2
   X O   ,5
         ,8
   O  X  ,5
O X  OX  ,5
         ,3
XO     X ,4
OXXO O  X,5
  O X X  ,8
    X    ,8
     X   ,8
OO  XX  X,3
         ,4
      X  ,5
X XO OO X,2
      X  ,9
O  XOX   ,9
X OX XOO ,5
     O  X,4
O X XXOXO,4
   X     ,6
XOOX OOXX,5
XX OO O X,3
 X      O,4
 X OXO   ,8
OXXXXOO O,8
 OO XX  X,1
XX XOO  O,3
OO OXXXOX,3
O  OX  XX,7
 XXOXO  O,1
 O   X   ,7
O  X OXOX,2
XXOXOO X ,7
OOXXX  O ,6
     X   ,5
X O  X O ,7
OXXO    X,7
X  X O O ,7
       OX,1
O OXO  XX,7
   X     ,5
OX OOXXOX,3
         ,4
XXOXXOOO ,9
XOXX O  O,7
 OOOXXXOX,1
O XO X   ,9
X X O    ,2
 XXOOXX O,1
XXOXX  OO,6
OXX    O ,6
X  XO O  ,3
OXXXOXO  ,9
XXO O X  ,4
 OOXXOX X,1
XO       ,4
XO   XOOX,3
X O   X  ,4
 O XX OXO,6
 XXXXO OO,7
  O OXXXO,1
         ,4
XOOX  O X,5
 XO XOX  ,9
XX   OOXO,3
         ,5
   X   O ,1
  O  XXO ,1
X  X    O,7
O X X O  ,4
 X  X  O ,1
 X   O   ,9
     XX O,4
XXOOX XO ,9
 XOOXO  X,1
         ,5
O OXXO X ,2
  X      ,5
        X,8
 XOXO    ,7
OOX X O X,6
  X O  OX,6
      X  ,2
    X    ,6
         ,6
OX      X,8
XO XO OX ,3
O  O  X X,8
         ,9
         ,8
    OX X ,7
 X      O,4
    X    ,9
         ,9
         ,9
O  X XXOO,5
 OX      ,8
 X  XXO O,8
XO  OOX X,4
   XXO  O,3
OXOXXOXO ,9
O  X   X ,3
O     X  ,2
X O X XOO,4
 XOXOOX  ,1
    X    ,7
XOOX OOXX,5
O XO    X,6
 OXOXX   ,7
    O   X,3
OXX  OXO ,5
XXO  X  O,5
O X O   X,6
         ,8
        X,6
XOXXX O O,8
XO      X,5
O  OXX   ,7
  X      ,6
X      O ,6
XO  XOX O,3
 O  XXXO ,3
 X    OOX,1
        X,1
 OO  X  X,1
X  OO XXO,6
O  OX XOX,3
 X     O ,3
O    OXX ,9
     X   ,7
 O X     ,9
X XX O OO,2
 OXOX    ,7
         ,7
   X     ,2
OXO OX XX,7
 OOOXXX  ,1
XOO XOX  ,4
  OX     ,8
         ,5
OX O X   ,7
 X  O X  ,3
 X OXXO O,8
  XXOX  O,1
XO O  X X,5
 O    X  ,4
   X     ,5
 O OOXX X,3
      X  ,9
   X XO  ,5
OXOXX   O,6
 X       ,4
  OXOX OX,2
O   X X O,3
       X ,7
 X       ,9
  OO XX  ,8
         ,7
         ,3
 OOXOX XX,1
OXXXOO  X,8
O  X     ,6
  OX     ,6
X        ,6
 XX OXXOO,1
OO XOX XX,3
OXXOOX X ,7
 OX  XO  ,9
 X     O ,3
XO XOXOX ,3
X        ,2
X   O X O,4
XX O  O X,3
         ,9
X        ,2
    X    ,1
OXOOXX  X,7
        X,4
  X X O  ,2
  O  OX X,8
  X X O  ,2
XOXOOXX O,8
         ,6
  X OX   ,9
X X O O  ,2
 XXO  OX ,1
 O XX    ,6
 OO X X X,1
 XXXOX OO,1
  X O O X,6
  X      ,1
OXO  XO X,4
 O X XXOO,1
O OXOXX X,2
 X XO X O,1
O XX     ,6
     OX  ,4
  O     X,5
  O X X  ,1
X  OXXXOO,3
         ,8
   XO    ,3
O   O XX ,9
         ,8
  XO OX  ,5
XO XOOOXX,3
XOXO O XX,5
         ,9
OO X   X ,3
   X     ,3
         ,5
   X     ,1
OXXOO XX ,6
   O  X  ,5
O XO XX O,5
  X  X O ,9
XOOXOX XO,7
XO XXO   ,7
OXXOXO OX,7
 X XOOXO ,1
 X   OO X,1
X X   O O,2
OX   O  X,4
         ,9
O O   XX ,9
O       X,5
  OX XOX ,5
         ,7
X       O,7
    X    ,4
      X  ,6
 O O X  X,3
       X ,7
XOX OX XO,4
         ,1
         ,5
 O  OX  X,3
X    OX  ,4
OX  OXX  ,9
  O OXXX ,9
 O X X OX,5
  O  OXX ,9
OXXXO OOX,6
 X   OXO ,5
   OX  OX,1
     X   ,5
O  XOXXOX,2
XXO OOXX ,4
    X OOX,1
XX   OO  ,3
X   X   O,2
O X XO X ,2
O     X  ,6
XOO     X,5
 X      O,5
         ,7
  X O    ,1
 O    X  ,9
X    O   ,2
XXOO   OX,5
OXXXXOO O,8
  O   XOX,6
         ,5
 XX O OXO,1
 OXOXOOXX,1
 XX   OO ,1
 XXO OOX ,1
    X    ,7
  OOOXX X,8
         ,5
O  X  XXO,5
X    O   ,4
         ,4
     X   ,3
     X   ,8
  X OOX  ,4
 X       ,1
 X       ,1
OXOOXX   ,8
O       X,8
XX   OXO ,3
    O X  ,3
 X X XOO ,9
 XXOO OX ,1
XOOXOX  X,7
X   X O  ,9
   XX OOX,1
XO  XOXO ,3
         ,4
XO  XOX O,3
    OXX  ,2
   OX    ,9
         ,5
   O   X ,9
O   OXXX ,9
   XO    ,2
   O  X  ,5
   XOX   ,9
X     OX ,4
O  XXOOX ,2
XX OO XO ,3
XOO X OX ,9
 OOOX  XX,1
  X      ,9
 O X  XOX,5
   OXOX X,1
 X OOX   ,7
  O XOXX ,9
X     OX ,3
XO OX  X ,9
 O  OXX  ,8
         ,8
 XOX     ,9
 XOX  X O,6
XO   OOXX,5
   O    X,6
X     O  ,9
 O  O XX ,9
X O XX OO,4
  X     O,6
O  OXXX O,3
 X       ,4
  OOXO XX,1
         ,2
OO OXXXX ,3
X  XOXOOX,2
O X XO X ,2
OX  XXOOX,4
XO   OX  ,4
OOXX OXX ,5
 O     XX,7
X   XO O ,9
 O  X   X,1
 X O OX X,5
XOXXOO XO,7
OX OX    ,8
      X  ,5
         ,9
   X  O  ,8
         ,2
 X       ,8
XOX O O X,6
XX O   OX,3
  XO OX X,5
O O    XX,7
        X,7
 X  O   X,4
   O X   ,5
     XO X,3
   O  X X,8
   X   OX,2
 X  O  X ,3
  XOO X  ,6
 OX  X O ,9
 XO    X ,5
O   XXOOX,3
 X   XO  ,9
X   XO   ,9
OXX   X O,5
 X O     ,8
X O      ,6
X OXOX   ,7
  OOXX OX,1
         ,4
         ,8
     X   ,5
 XO O  X ,7
X        ,2
         ,4
O       X,6
 X OXOXO ,3
XOO O XX ,4
    X    ,4
OXOXX XO ,6
O X XOOXX,4
   X XO  ,5
   X     ,7
O  X     ,8
XX  OOXOX,4
X  OOX OX,3
  O  X  X,4
 XOOX XO ,9
OX O   XX,7
    X   O,6
  XX    O,5
 X       ,9
    O X X,8
X O   X  ,4
         ,5
OOXO  X X,5
 O   X   ,3
 X X X OO,7
XO XOX XO,7
 XX  O   ,1
   XX  O ,6
        X,2
X XOO X O,2
  XOO   X,6
  OXX  O ,6
O     X  ,6
 XO      ,4
  OO X XX,7
 XXOO  X ,6
XOXXOO X ,7
         ,2
X     XO ,4
XXO XOO  ,8
O  XO XX ,9
  O   X  ,1
 X X OXOO,1
    X    ,9
X XO  O X,2
XOX      ,4
O OXX    ,6
XOO     X,5
  O  X   ,9
  X      ,4
 XOX O X ,9
 X OXXOOX,1
  OX  OXX,5
XOX  XXOO,5
   X  OOX,6
X X O XO ,2
         ,2
X   X OO ,9
 OXO  XXO,5
X   XOO  ,9
 OX  XO  ,9
 O X X  O,5
XOXX O XO,7
 X       ,4
OO X  X X,3
OXO X X  ,8
X  O X XO,7
O  XX   O,6
 O X X   ,5
XO XXO XO,3
   XX  O ,6
O  XX O X,6
   X     ,8
 X  OO XX,4
O  O   XX,7
  O O X X,8
XO  X O  ,9
  XO  XOX,5
X XOOX XO,2
XXOX    O,6
OXOXOXXO ,9
  O X    ,4
 X  O X  ,3
  OX OXX ,9
   O X   ,1
 OX XO XO,7
OOX OXX  ,9
         ,1
        X,7
         ,2
 X  OOXX ,4
 O  XXOX ,4
         ,4
OO  XX XO,4
         ,5
 XX O O  ,1
XO O XXOX,5
  O XXX O,4
XOXOO XXO,6
         ,8
OXXXOO  X,7
 OXOX    ,7
         ,1
    X    ,8
       XO,3
X   O X  ,4
 X O     ,9
X OOOX X ,7
  X  OX  ,5
O X XOOXX,4
         ,7
OXOOX   X,8
O  XX   O,6
XX  OO X ,4
 XO XXOO ,4
X OX     ,7
OXXX  OXO,5
XXOO O XX,5
O   X    ,9
 OXO    X,6
OO  X  X ,3
 O XOX  X,8
    OX   ,4
XXOOOXXO ,9
   XO  XO,1
  XO  OXX,1
X  O     ,3
         ,7
XO    XOX,5
XO X O   ,7
         ,8
OX       ,4
 XOO    X,6
         ,2
 X   O   ,3
OO XX    ,6
      X  ,9
X  O  XOX,5
 OX   X  ,5
     X   ,4
 X    O  ,4
 OOXOXXXO,1
      O X,8
O O   X X,8
 XOXO  OX,7
 OXO OX X,5
XO  OOX X,4
XO X O   ,7
         ,5
OO XX  X ,3
OX XOXOOX,3
 OXXXOO X,1
     OX  ,2
X  X    O,7
 XOXXO   ,9
O  X  X O,5
 OXXXO  O,7
  X X O  ,1
 X    O X,6
 OXXOXOXO,1
         ,6
OX  X   O,8
XO OOX XX,3
         ,2
   X     ,3
X        ,5
O  OXOX X,3
         ,2
X  OO X X,6
O    XOX ,4
OOXXO XX ,9
   XXO   ,3
XOX   XO ,5
XOXXOO  X,8
         ,2
 O OX XOX,1
 XXOOX  O,1
     X   ,1
XX  O O  ,3
  OOX X  ,9
X X OOOXX,4
XOX    O ,5
         ,8
     O  X,1
 X X O   ,8
 O  XX  O,4
XOOX XOXO,5
 O    X  ,1
         ,2
   O   X ,2
OX OXOX X,3
OX   OX  ,3
O    XO X,3
O X     X,6
O OOXXX X,2
X X OOXO ,2
  X O X  ,8
        X,6
      X  ,8
  OO  X X,8
         ,2
         ,2
  X  OXOX,5
         ,5
         ,3
X  XOXOOX,2
         ,3
    O   X,1
  O  XXO ,9
O OX   XX,2
         ,1
OOXX     ,6
X   O  XO,3
 X       ,7
 X O O XX,5
O      X ,5
   X     ,9
  X XXOO ,9
O  O  X X,8
OXXOO   X,6
    XO   ,3
  XO OX X,5
 X OO X X,6
  O XXX O,4
       X ,1
    XOX  ,3
 X O XO X,1
         ,7
      X  ,5
OXO OX XX,7
  O XOOXX,1
   X    O,1
X  O O  X,5
 XOX     ,7
OXX XOOOX,4
  O X    ,4
 OXX O OX,5
O X X O X,4
 X       ,4
         ,5
     X   ,8
 X O    X,1
XOO   X  ,4
  O XXOX ,2
XXO     O,6
X  XO OXO,3
      XO ,5
      X  ,6
 O XO   X,8
   OX O X,1
         ,1
   XOOXX ,1
OXOXX X O,6
 O X  XOX,5
 X       ,7
       X ,7
X    O OX,5
 O  X  X ,4
  X XO   ,7
X  X X OO,7
 XOO XOXX,1
 XO  O XX,5
XOO     X,5
 OXOXO X ,7
X  X XO O,8
XOXXOX  O,8
O   XX   ,4
OOX     X,6
         ,1
XXO  XXOO,4
OXXO O XX,5
O  XOXX  ,9
O    O XX,7
XX    OXO,3
   XX   O,6
  O X  XO,2
   X     ,7
      X  ,4
O  X  X  ,9
         ,2
 X  XXO O,8
  OXX XOO,1
X X O XOO,2
         ,9
    X    ,8
X X   OO ,2
   XO XXO,1
        X,1
X    O   ,2
O OOX  XX,2
 O  X    ,3
OO     XX,7
XO X     ,7
X  O X  O,7
OOXX XXOO,5
O    OX X,8
X X XOOO ,2
 O X   X ,3
OX   OX  ,8
 OOX  X  ,1
 X   O OX,3
  X      ,4
X OO OX X,5
O  X X   ,5
         ,8
OO XOX XX,3
OO  XX X ,3
X  O  XOX,5
X   O    ,2
  XXOXXOO,1
X     O  ,4
O X XXO  ,4
OXX  O XO,5
 XOXOOX X,1
  X      ,9
    XXOO ,4
         ,9
   X    O,8
   X OXXO,3
   XXOOXO,2
   XO    ,1
   X  OX ,9
 X  O    ,3
 O X O X ,3
  X      ,6
X  OX    ,9
         ,5
X        ,5
X OX    O,7
O  X  XO ,5
OX  OX   ,9
X  X X OO,7
OXOXX O X,6
  X  X  O,2
X     X O,4
        X,5
  O  X   ,5
     X O ,3
X  O     ,3
         ,6
X   XX OO,7
 XOXOOXOX,1
 O O  XX ,9
XX    OO ,3
X       O,3
    X    ,7
         ,4
O  XO X X,8
XOXOX  O ,7
 X       ,4
  X O O X,6
 X  XOXOO,3
 O    X  ,9
    XO   ,3
        X,6
 XXXO  OO,1
 XXOXOO  ,1
         ,8
O  X  O X,8
X   O X  ,4
  OO  XX ,9
    XOXO ,3
 XX O  O ,1
    X    ,6
         ,5
O O XXX  ,2
 O X     ,7
XX OXO  O,3
      XXO,4
 X  X O  ,8
   OOXX  ,8
XX XOXO O,3
XX O  OOX,3
X O XX  O,4
     X   ,5
  OX     ,8
  X   O  ,4
XX  XOOO ,3
    O   X,2
     X O ,9
   X O   ,5
OOXX OX X,5
OXXXX O O,8
         ,2
OO   X X ,3
XXOO    X,5
XO O XX  ,9
 XOOOXXOX,1
XO XO    ,7
O  XO  X ,9
O O XXXOX,2
XO  OXOXX,3
 X X    O,8
     X   ,2
OO XX  OX,6
 X       ,4
XXOXO    ,7
O X X   O,7
X        ,4
    XO X ,2
XO    X O,4
X  O   X ,7
         ,9
X     O  ,6
 X OXXXOO,3
  O   X  ,5
  OX     ,1
OO XX OX ,6
  X  O XO,5
   X O   ,3
XXOX O O ,7
 O      X,1
   X     ,2
 OXX O X ,7
         ,5
         ,4
XOXOO X X,6
 X       ,5
X  OX    ,9
 X OO X  ,6
   OX OX ,2
  O O  XX,7
X    OX  ,4
 X       ,3
X  O XO X,3
 OXOOXX  ,9
   X     ,6
 XXX  OO ,9
O  XOO XX,7
XO  XOX  ,3
         ,4
 X       ,6
 XXOX   O,1
X XOX O  ,2
O OXOX  X,2
 OX      ,9
XX O  XOO,3
         ,8
  XXXOOXO,2
         ,8
XOOO  X X,5
X OX O   ,7
         ,7
 XXO  O  ,1
    XO  X,1
         ,9
     XXO ,5
         ,6
X      O ,5
O   X    ,4
       OX,4
  X  O XO,5
XO       ,7
 O  XXXOO,3
         ,8
         ,7
    OX X ,3
OX X OX  ,8
O XXOOOXX,2
 O O X  X,3
 X  O    ,9
   O  XOX,5
 OOXXOOXX,1
X OX XO  ,5
 XO      ,9
 X O XX O,1
OXX XXOO ,4
OXO O X X,8
XXOOXX OO,7
X  O XXO ,2
O    X X ,2
    OX   ,2
   XOOX  ,1
OO  X  X ,3
 O XXOXOX,1
O   XO X ,2
X      O ,5
      XO ,5
X      OX,5
   XO X  ,1
         ,2
XXOXO   O,7
 O   X   ,3
O   X  X ,2
XX  XO OO,3
XXOO OXX ,5
OO  XXX  ,3
 XXO  O  ,1
         ,5
 O OXXOX ,1
  XO     ,5
OXXOXO OX,7
XOXOX OX ,9
  XOX  O ,7
O X X OX ,4
XO X OOXX,5
O X   XOX,5
   O  X  ,6
XOX XO O ,7
         ,1
      O X,6
OXOXO  XX,7
OXOXO XOX,6
 X   O  X,1
O   XOXXO,2
O O  XXXO,2
O OXXOX X,2
         ,5
 O      X,6
  XXOX  O,1
 X O   X ,5
X   XOOXO,2
XX  O OXO,3
         ,4
 X OXXO  ,1
XOX   O  ,8
       X ,1
  XO   OX,6
 OX OO XX,7
 X XOOO X,3
 XX O OXO,1
     X   ,7
XOXX OOOX,5
 XOOXXO X,1
  O   X  ,6
   O XX  ,2
XOXXOXO O,8
         ,7
O X     X,6
O   X    ,4
X  XX  OO,7
 OXXOOXX ,1
       X ,1
   X     ,6
X XO XXOO,2
      OX ,5
 X OO   X,6
OOX X O X,6
 XOXX OOX,1
XOXO X XO,5
O  X   X ,3
 XX    OO,1
 O   XXOX,5
X X O XOO,2
         ,1
 X  X  O ,4
XO  XO   ,9
         ,5
  XX O O ,1
    O X  ,6
         ,1
 XXXXOOO ,9
 XXOO XXO,1
 X   XOO ,9
XX   OO  ,3
O      X ,2
 OXOOXXXO,1
XXOX XO O,5
O OXXOXX ,2
XOO XXXOO,4
XO       ,3
    O X  ,9
         ,4
         ,2
XX OXOX O,3
XOXXOXO  ,8
 O XX XOO,1
XOOX     ,7
 O XX OX ,6
 X O  O X,1
         ,4
OXOXO X X,8
OX XO  OX,6
OX O X OX,3
 X O XOX ,1
OOXX  OXX,6
X        ,7
 XO X    ,8
XX      O,3
O X  XO  ,9
 XO  X  O,1
 X       ,9
   X O   ,1
   X   O ,9
XO  XX O ,4
 XOOX XO ,6
O   X  X ,2
  X      ,9
         ,3
XX X OOXO,3
XO   X  O,7
   X     ,1
OXXXXO  O,7
  X      ,2
  X      ,8
X XO   OX,2
XOX OX XO,7
   X   XO,5
 OXXX O O,6
 X OO  XX,6
XO   XXO ,5
        X,2
 XXO OXOX,5
 OX OXX  ,8
      O X,2
 OO  XX X,1
  O X X  ,4
 XXOO XXO,1
  X      ,9
         ,8
 O    XX ,9
    X    ,9
         ,9
  X  O   ,9
OXOX OOXX,5
OXX XO  O,7
      X  ,1
O   XOXOX,3
OOX  OXX ,5
    X  O ,2
  OXXO   ,9
 XX OOX  ,4
O X   X O,5
X  O     ,9
    X  OX,1
XO O    X,5
X X  O  O,2
O X   XOX,5
O OXX OX ,2
X XOXOOX ,2
XO  X    ,9
OXXOOXXO ,9
         ,8
 O      X,7
  O   X  ,8
   O   XX,7
  X XOOXO,2
X        ,9
X XXOO OX,2
    OXOX ,3
  X      ,5
         ,3
X        ,6
   OX    ,9
XX  O  O ,3
  X      ,5
 XOO  XX ,5
O X     X,6
XOOOXXX O,8
 XO      ,6
OXO OXX  ,9
  XX   O ,6
    X    ,7
X O  OXX ,9
     XOX ,1
     X   ,5
XOX OXO  ,9
   XOX  O,1
XOX  O  X,5
  XX    O,1
 X     XO,5
X   OX XO,4
    OXX O,1
  XX O   ,7
X XOXO   ,2
       X ,3
O XO X X ,7
  X OX O ,9
O  XOXO X,3
  X  O X ,2
X  OX XOO,3
 XOX XO O,5
         ,3
 XOO XOXX,1
XO X OO X,5
   O XOX ,1
XOX OOX X,4
         ,5
 X     O ,5
   OX    ,3
    X    ,6
         ,2
OXXOOXX  ,9
O   X X  ,3
X        ,8
 OX X  O ,7
 X OX   O,8
 X X OOX ,5
OX OOX  X,3
        X,1
OOXXOXX  ,8
X  X   OO,7
     X   ,9
 XX OO X ,4
  OX  XO ,1
OOX   XX ,5
  XXXO OO,7
  X O  X ,1
   X    O,1
O  XX   O,6
X OXO  XO,7
XX OX   O,3
         ,3
 X OO XXO,1
     X   ,5
 OOXO X X,1
X   O    ,9
X  X   OO,7
OXX X  OO,7
 OX  X   ,9
X O   OX ,5
     X   ,2
     X O ,9
XOO  XXO ,4
    X O X,1
 X      O,4
X  XX  OO,7
 OX     X,6
 O   X X ,1
XO   X O ,5
         ,6
 XXO     ,1
 XO  O X ,5
OO XX   X,3
        X,2
    OXOXX,3
X  X XO O,8
 X  X O  ,8
XXOX OOOX,5
       X ,7
 OO X   X,1
 XX O    ,1
         ,4
  O   X X,8
OO  XXX O,3
XXO  O   ,9
       X ,2
X   XOXOO,3
OXOX OX  ,9
       X ,7
     X   ,1
     XXOO,1
X   OO  X,4
 XOO XOXX,1
X X  OOX ,2
  XO     ,6
  O  OXX ,9
         ,3
 OX    X ,1
         ,5
    X   O,3
 O  X XOX,1
         ,5
OOXO   XX,6
 X X   O ,3
         ,1
X OO OX X,5
 OXX O   ,5
     X   ,8
 X    XOO,3
X  OOXXO ,2
X        ,3
 OX O  X ,4
         ,1
 XO      ,9
      X O,4
 X       ,8
       XO,7
         ,5
  X X  O ,7
  O X    ,9
OOXOX  X ,7
 XXO  OX ,1
XO   X   ,3
  X  OOX ,5
XOO     X,5
  XOX  O ,7
X OX   O ,7
         ,6
      X  ,9
 OX  X O ,9
     XOXO,4
 X       ,4
  OOXXO X,1
 XOOX XOX,1
 OX      ,6
      X  ,1
 OO X  X ,1
XO X X O ,5
     OX  ,5
 OXXOOXXO,1
XOO  XXOX,5
       X ,3
O O   X X,8
X     X O,4
X XO   XO,2
 X       ,1
         ,2
O O X OXX,2
XO       ,9
 X  O X  ,6
 X   O X ,5
 X O  X  ,8
  XO X   ,9
X  XO  OX,2
X  O     ,3
   O   X ,3
 O O XXOX,3
OX  X   O,8
 XX OXO  ,1
  OXX OX ,2
OX       ,3
OX OXXX O,3
XOXO   OX,5
  XO  O X,6
    X  XO,2
    XO X ,2
   XXOO X,1
OX XXO   ,8
         ,9
      XO ,1
O XO OXX ,5
  X X   O,7
 O   X X ,7
XX  O   O,3
 OOOX X X,1
 X       ,7
 OX OX X ,9
 XO   OXX,5
 OOX  XOX,1
         ,2
XX  X O O,8
 X       ,8
     X   ,5
OO   XOXX,3
X   OXOX ,3
   O XX  ,9
O X OX X ,9
X  O XXO ,2
 O  XOX  ,3
XO XXO O ,7
X OXO  X ,7
         ,5
XXO  O   ,9
OX  OXXO ,9
XOXXXOO O,8
   XX   O,6
XX O XXOO,3
XOOXOX   ,7
  OXX    ,6
 O  XX  O,4
XXOX XO O,5
  OXX  O ,6
      X  ,2
OX  OOXX ,9
X    OOX ,5
    OX OX,3
OX OX    ,8
      X O,3
O OX XOX ,5
    O OXX,3
OXXOX   O,7
 X  OX   ,1
        X,2
OXOO XX  ,9
         ,9
X  OOXO X,3
         ,5
  X      ,6
         ,1
     X  O,1
  X      ,6
O  XOO XX,7
 O XX XOO,1
 O   O XX,7
 X X O O ,9
XXO X XOO,6
  XXOO   ,9
XO OOX XX,3
OOXX O XX,7
         ,5
         ,6
OX  XXO  ,4
 OOX XXXO,1
X  XOO XO,7
OXXXXO O ,7
 OO  XX  ,1
O    X   ,8
 O  OXOXX,3
O X  XXOO,5
   X OOX ,3
     X   ,2
X XO OX  ,5
XXOO X O ,7
  X  XO  ,9
X XO XO O,2
XOO XO X ,9
XX O O  X,5
O     XOX,5
X XO OX O,2
OXXXO    ,9
 X     O ,5
O  XXOO X,8
OOXXOXX  ,8
  X      ,2
    O  X ,4
OXOX XXOO,5
XOXXXO OO,7
XOXX OOXO,5
X O   OXX,5
 XX   O  ,1
    O XX ,9
O XOXX  O,7
X    OOXX,5
    X    ,7
X    OX  ,4
X O X O  ,9
 O  X O X,1
X XO O  X,5
    X    ,3
         ,8
   X     ,2
         ,6
XO OX    ,9
  XOOX   ,9
  X      ,6
         ,1
  O X  OX,1
OXOOX XOX,6
 O XXOX O,1
OXXOO   X,6
 X XO XOO,1
  OOX   X,1
  OX XOOX,5
 O    XX ,9
  X      ,7
XO XOX   ,8
 XX O O  ,1
O OXOX XX,2
 X  OXX O,1
         ,3
       X ,7
OXOO XXX ,5
XOO    X ,9
 XX  XOO ,9
XX  O    ,3
 X  O  XO,1
         ,6
X  O OXX ,5
X   OX   ,9
O X  O  X,5
   O X   ,5
OXO  XOXX,4
 OOXOXX  ,1
XOOOX X  ,9
   X  O  ,6
O  X     ,3
OO  XX  X,3
 XOOXXX O,8
 XOO  XXO,5
OOXX XO  ,5
X     OOX,5
O O X XOX,2
X  O    X,5
OXXOO X X,6
 XO O  X ,7
 OXXOO XX,7
       XO,3
    X    ,7
OX XOXOX ,3
O X X    ,7
         ,4
X     XO ,4
OXXX  XOO,5
        X,3
X X OO   ,2
XOXXOXO  ,8
   O X   ,5
X   O X O,4
XOXX OOXO,5
       X ,1
O    X   ,9
XXOOOX XO,7
  O   OXX,5
 XOXXO O ,9
 XX     O,1
XXOXX OO ,9
XX   O O ,3
   OX    ,7
O XXX O O,6
 OOX XX O,1
         ,5
  O X X  ,2
XOO X  XO,6
XX XOOO  ,3
         ,2
O XXX O O,6
O  X     ,5
X OXX OO ,6
    X  OX,1
XOO XX  O,4
 OOXXOX  ,1
         ,6
O  OX   X,7
XOOX O X ,7
   O X X ,1
XOXO XOXO,5
OX XOXOOX,3
X X OO  X,4
X OOXOX  ,9
   X     ,5
XX X O  O,3
 XO     X,6
OX O O XX,5
OXOX X  O,5
 OOXX XOX,1
         ,2
 XX XO OO,1
 O OX XXO,3
O X X OX ,4
        X,4
 X X    O,8
 XXX  O O,8
 X  O XO ,3
XO O XO X,3
XO XOX   ,8
OX  XXO O,4
    X    ,7
X      XO,2
XOO OXXXO,4
   OOX  X,3
 O  OXXX ,9
 O X     ,1
  X  OXO ,5
   X    O,1
   O X   ,3
    X    ,3
X O X   O,6
    X  XO,2
XX   O   ,3
O X   XXO,5
X        ,6
 XOXO    ,7
O O    XX,7
XO   XXO ,5
XO X   O ,7
XOX XO O ,7
   O X  X,3
    O XX ,9
         ,7
OO  XX   ,4
    O X X,8
OX O XX  ,3
XO   O  X,5
  X  O X ,2
OOXX XOXO,5
X XX   OO,7
O  X  X  ,3
 XXXO OOX,1
 O  X   X,1
XXOO   OX,5
OX X     ,5
   X     ,6
OO  X X X,3
X    O X ,3
X  XO    ,7
 XXX OOO ,1
    X   O,1
    X   O,2
   X OOX ,2
  X OXOX ,9
  X      ,8
        X,5
XO     X ,7
X XO O OX,2
 X O    X,1
  X      ,1
 OX   X  ,5
XOO XOX  ,4
O  XX    ,6
 X  XXOO ,9
         ,6
O    OXX ,9
 O XOXX  ,8
   XO    ,3
     X   ,4
      X  ,8
OX  OOX X,8
OOXXXO   ,7
         ,3
         ,3
    X    ,8
   X  OOX,2
X XOXO O ,2
      XOX,4
 X O XOX ,1
   X    O,8
O  X    X,3
 O  XOX  ,3
  X  O   ,2
   X  X O,1
OXX XOOOX,4
X   OXOOX,3
         ,7
O X    X ,9
OXX  O   ,9
OX   XOX ,4
X  O OXX ,5
  X  O   ,9
         ,6
XOXXX O O,8
         ,8
O XXXO OX,7
    X    ,7
OXX  XOXO,4
 OX    X ,1
 XXX   OO,7
         ,4
O    XO X,3
  O    X ,4
X X OOOXX,4
         ,6
 X XOXO O,1
XX OOXOXO,3
    X    ,4
XO  OOXX ,4
         ,4
       X ,2
X  O   X ,3
O XO  XXO,5
     X   ,7
OOX X  OX,6
  O OXXXO,1
X   OXXO ,2
    OXX  ,8
X OOO XX ,9
XXOOO XXO,6
 O  OXX X,8
OXO   OXX,5
   O   X ,9
 OX  X XO,4
  OOXXXOX,1
  OXO XXO,1
      X  ,4
         ,7
O XOOX X ,9
         ,1
OO  XX X ,3
  O X    ,6
   X     ,9
 OO X OXX,1
OXX XO   ,7
         ,7
 OXO X XO,5
O   XOXOX,3
XO XX OO ,6
  X  XO  ,9
X  O XO X,3
O  O XX  ,2
X  O     ,8
OX       ,8
 OXO XX O,5
XOXX XO O,8
 OXX O  X,7
  OO XX  ,1
XOOXOX  X,7
 X       ,6
   X  O  ,8
X OX X OO,5
X  O OXX ,5
O X   X O,5
X  XO OX ,3
     XO  ,5
 X     O ,7
OX       ,9
XXO O    ,7
 X X   O ,6
 OXX O X ,7
     X   ,1
OXXOXO  X,7
         ,8
OOXO XXXO,5
X O  XX O,4
 OX   XO ,5
 XO OOXX ,9
    X    ,6
 X       ,4
X XO  OX ,2
 OOX X XO,5
 O X  X O,1
 O   X  X,3
   X   OX,3
  OX X OX,5
         ,4
XOX      ,4
         ,9
