board,decision
OX OX    ,8
 O     X ,7
      X  ,4
OX XOOXOX,3
XX XOOOX ,3
 O O XX  ,3
 XO      ,5
OXXO OX X,5
X X     O,2
     X   ,2
OO  XXOX ,4
         ,8
X   XOO  ,9
 X       ,8
X X  O   ,2
   XO X O,1
 O OOX XX,3
 XXX O OO,1
OXO XX  O,4
   X     ,1
XX O XXOO,3
X XO  OXO,2
 X       ,7
         ,9
  O XOXX ,9
    X    ,4
         ,2
XO  XXO O,4
   X   O ,5
  X      ,7
         ,9
  XO  X  ,5
OOXOXX X ,7
X XX OO  ,2
XX  O    ,3
X XXOOOXO,2
  X      ,6
 XO  X OX,7
X OOX    ,9
XOX OOXX ,4
 OO X XOX,1
     X O ,2
  OX X O ,5
       X ,4
X O  O X ,9
     X   ,7
X   OX OX,2
XX     OO,3
OO X   X ,3
X  O X O ,5
X XXO   O,2
         ,7
 X       ,6
 OOXX XO ,1
XOX O   X,8
   XOO X ,3
  X OOX  ,4
XOXOX OX ,9
 X    O  ,8
         ,6
 OO X X  ,1
 O   X   ,3
  OXOXX  ,1
 X       ,5
  XXO  XO,1
X   O    ,4
 X OO X X,6
 X  XOO  ,8
  X   X O,5
  X  O   ,7
   O    X,7
OX XXOOOX,3
X O X OX ,2
  X    XO,6
O XX  XOO,5
   X     ,6
  O     X,7
    X    ,1
O OOXX XX,2
OO  OXXX ,9
  O O XX ,9
         ,9
 OOO XX X,8
OX X XOO ,5
O   X  XO,2
 XO X O  ,8
   O  XXO,2
O  X X O ,5
X  OOXXOX,2
O X  XO  ,9
   XO    ,8
      XO ,2
 OXXOX  O,1
   OX XXO,2
 X  O X  ,4
   X    O,2
 X  O X  ,6
 O X   XO,3
         ,4
OXXO  X O,5
OO X XX  ,3
OO  XXXXO,3
 X  OXOXO,1
 O X X   ,5
    X    ,2
         ,7
X     O  ,5
XX  O OXO,3
X   XXOO ,9
      X  ,4
         ,5
         ,9
    X    ,8
 X  OX   ,7
  X   OOX,6
      XO ,1
X  X    O,7
 XOOXXOOX,1
         ,8
 OO  XX  ,1
   O X   ,3
X X  OOOX,2
OX X OO X,5
   O X   ,1
XX XXOOO ,9
O   XX   ,4
         ,7
OX   OX  ,5
OXOX  OX ,5
OXX OO X ,4
X X    O ,2
O  XX XO ,3
  X O   X,6
OO XOX XX,3
X    O OX,5
 X  O  XO,1
      XO ,4
         ,6
 XO    X ,5
  X   O  ,2
   OXXOXO,2
   XOX XO,1
 O X XOX ,5
     O X ,2
XOOOXX   ,9
         ,3
XO OX OX ,9
   X     ,5
        X,8
 X      O,1
OO X X X ,3
     X   ,3
 XO XOO X,1
         ,6
OX  OX X ,9
OO X OX X,8
X OXO  X ,7
XOO  X OX,5
      X  ,4
XX  OO X ,4
XX OXOXOO,3
O   X    ,4
         ,2
X OOO XX ,9
O  X X XO,5
 X O     ,3
         ,4
XO OOX  X,3
 X       ,6
X X O  O ,2
O  XOX OX,3
 O X   OX,5
XOOXO  XX,7
      OX ,2
 X   O   ,3
  XO X   ,9
XX     O ,3
O O   XX ,9
X XX O O ,2
X XO OX  ,5
X O  X XO,2
         ,3
  XX  O  ,9
X   OOXXO,4
         ,6
X O   X  ,4
O   X OXX,4
   O X X ,3
  X      ,6
  OX  OXX,5
 XXOO O X,1
X XXO  O ,2
X O  OX  ,4
   O    X,2
  O    X ,7
OXX   OOX,6
         ,5
X    O OX,5
 OXXOXX O,1
X O  X O ,4
O  X X O ,5
O   X OXX,4
OX  X  O ,4
O XX XXOO,5
  X      ,2
X        ,2
    X O  ,6
 XXO O   ,1
    X   O,4
 OOXXOXX ,1
 XX    OO,1
O X O X  ,9
 X       ,4
 XO      ,9
    O XXO,1
X X O    ,2
       XO,1
OOXO  X X,5
OX OO X X,8
       X ,2
        X,5
         ,9
OX X OXXO,3
  O XOXOX,1
         ,7
OOXX O XX,7
XXOX XO O,5
O   XOX  ,3
O OX XXOX,2
   X     ,9
O   OX X ,9
OX  OOX X,8
      X  ,5
 X  OOX X,4
 O     X ,9
XOXO X O ,9
         ,7
XOX OOXX ,4
    X    ,4
X X     O,2
 O XOX X ,3
X  O XXOO,2
 X       ,8
    XX OO,4
XXOX    O,6
 XO  XO X,5
X        ,3
 XXO     ,1
OXOXOOX X,8
X    X O ,7
X  O OOXX,5
 XO      ,9
        X,2
  O   XX ,9
       X ,7
O X      ,7
     X   ,2
 XXO XOO ,1
      X  ,3
XX  O    ,3
OO  OX XX,3
 X OX    ,8
 XOOX  OX,1
X X O XO ,2
   X OO X,1
  X OX  O,1
         ,7
 OO XXOX ,4
 XOXOOXOX,1
OO X  X  ,3
OXX OXXO ,9
XOOX   XO,7
OOXOOXXX ,9
O OX XX  ,2
     OXX ,9
X  OX O  ,9
X XO XOO ,2
XOXX    O,7
XO   O  X,5
         ,1
X XXOXOO ,2
 O  X  XO,1
 OXOXO X ,7
O    X   ,8
         ,1
 XXXO  O ,1
X OOOXXXO,2
   O  X  ,8
X OO XXOX,5
      X  ,4
 XO      ,4
 X X O XO,3
X  O   X ,3
   X  O X,3
 OXX     ,6
         ,6
      X  ,6
XX  OOXXO,3
O   X    ,3
  X    OX,6
 XO  XO X,5
X O  XO  ,5
O X  XXOO,5
X  XO  O ,7
   X O   ,2
OOX   OXX,6
XX  XOO O,3
OXXX O OX,7
  XX OOX ,9
  OO XXX ,9
      XO ,1
O  XX    ,6
OX  OO XX,7
 X  XOX O,3
XOXOX  O ,7
X XXO  O ,2
     X   ,5
  O   X  ,4
 XX O O  ,1
OO  XX XO,4
O    XO X,3
XO O  XOX,5
O      XX,7
X   X   O,7
X  O OX  ,5
         ,4
      X  ,5
XO     OX,5
  XO     ,8
  XOOX X ,9
 OOOX  XX,1
O   XXXOO,3
 OXOX    ,7
 XOXOOX  ,1
         ,6
         ,3
OOX  O XX,7
    X  O ,9
  X OO  X,4
X OOX OX ,2
         ,4
   XXO   ,1
    X    ,8
       X ,7
         ,4
XX  OX OO,3
  OOX OXX,1
  OOX  X ,2
         ,8
   O XXOX,3
X   O XO ,4
 OOXO XX ,1
         ,6
OO   X  X,3
       X ,9
 XO    X ,5
O OX O XX,7
OO XX XO ,3
 O   OX X,8
O     XOX,2
 XO OX XO,1
 XO X    ,8
        X,3
OXOXX O  ,6
OXO OXXOX,4
 O   XOX ,9
O X      ,8
X XO XXOO,2
XX O XO O,3
 O XXO X ,3
         ,1
         ,9
OXXXOOO X,8
 OX   O X,6
      X  ,9
  XOX  XO,2
XX XOO O ,3
   X     ,1
   X OOX ,2
O XXO   X,6
X  XO  O ,7
      X  ,6
   X OXO ,1
OX XX XOO,3
  X  O   ,2
   OXX  O,1
OX XO XO ,9
O  OXXXO ,3
X  O OXXO,3
 O    X X,8
 OX  XOX ,9
XO O  X  ,9
OX XOXOX ,3
 XX OOX  ,4
   O XX  ,3
         ,5
         ,2
         ,8
 O    X X,8
XO X XO O,5
  X     O,2
 OX  XXO ,5
         ,8
X  XX OO ,9
 OX OXXXO,1
    XO X ,2
         ,5
    O X  ,4
 X OXOO X,1
XX  XOXOO,3
X  OOXO X,3
 OXXX OO ,6
XX  OX OO,3
 OO X   X,1
 OOXX X  ,1
 OXXX OOX,1
   O  OXX,1
XXOOX XOO,6
XO O XO X,3
XO   O  X,5
 X       ,9
O   O XX ,9
X  O XO  ,3
         ,1
  OX OX X,1
 XX OXOXO,1
  X      ,2
X O OX  X,7
   X    O,7
O  XXO  X,2
X OO  OXX,5
         ,5
  O X    ,6
XO  XX O ,4
     X   ,9
   X     ,3
 XXO     ,1
  O    X ,9
 X O  XOX,1
 XOOX XOX,1
XOXXO OXO,6
X    OX O,4
   OX X  ,3
 O     XX,7
O X XX OO,4
  X      ,2
    O X  ,1
 O X     ,6
  X    XO,2
   O XX O,8
 XO   X  ,4
XOOXO  X ,7
  OXX    ,6
  XXOXOXO,1
XX O OOX ,3
O       X,8
         ,4
   X X O ,5
       X ,1
     XO X,3
   X   O ,7
        X,6
         ,6
 XO OOX X,8
         ,7
X OX O   ,7
         ,2
      X  ,8
 O X   X ,7
  OX     ,1
    X    ,8
X    O   ,9
O   X  OX,2
O X    X ,6
OXOXOXX  ,9
  X O  X ,1
         ,7
 O OX X  ,3
   OX X  ,3
  XXO  OX,2
   X    O,2
O XX XXOO,5
X    O   ,2
O    XX  ,3
   XXO O ,7
 XXO  OXO,1
 XOO  XOX,1
X XOX  O ,2
XX   OO X,3
  O X    ,9
  O   X X,8
X     OXO,6
O OX X X ,2
O       X,5
 OOXO XX ,1
 X       ,8
O  X   X ,5
XOO X    ,9
O XO  XOX,5
   XX  O ,6
  X      ,5
OO X   XX,3
X X  OOXO,2
  O X  XO,2
     X   ,5
X  X  O  ,8
 X  OOOXX,3
XOXX O OX,5
 X     O ,1
XO X   XO,7
         ,4
 X       ,4
XXOOX XO ,9
XOX  OOXX,5
XO XO   X,8
X    O X ,5
 X O O X ,5
O    O XX,7
XOO   X X,4
X        ,8
     X   ,9
X  OX X O,3
 OO XXXOX,1
 X       ,6
   O X   ,5
 OXXOOX X,8
         ,8
O      X ,2
         ,5
O     X  ,8
OO X  XXO,3
X  XOOO X,3
       X ,7
     X   ,1
OOXOXX XO,7
  O OX XX,7
 O X X O ,5
OXX  OOXX,4
OXXX  O O,5
  OOXXOXX,1
XOOXOX X ,7
 XX OOXOX,4
 X       ,5
 X X    O,1
         ,7
O OO XXX ,9
  XX XO O,8
 O  O X X,8
X OOOXXX ,9
O XXOX   ,9
   X     ,2
X  XX  OO,7
 XXO  O  ,1
         ,8
    X    ,6
X OO O XX,5
      XO ,9
OX       ,8
XOOO  XX ,9
       X ,4
XOX   OX ,6
X    XOO ,9
 O  O XX ,9
O    X X ,4
OX XOXXO ,9
    XOX  ,3
XX XO OO ,3
         ,5
OO XXOXXO,3
         ,9
         ,7
X  XXO  O,3
OXOX X OX,5
         ,8
   O OXX ,9
 XO   X  ,5
      X  ,8
OOX  XXO ,5
    X    ,1
 OX   X O,5
   O    X,2
       X ,9
 XX XOOOX,1
XOX  O XO,7
         ,4
XX O OX O,3
         ,1
XOOOOXXX ,9
OX OO  XX,7
X OX O X ,9
         ,8
         ,4
X     XO ,4
        X,4
O   OX  X,3
     X  O,5
      X  ,8
   O XOX ,1
  X   XO ,5
  X      ,5
XO   X  O,3
X        ,7
 O   X   ,9
         ,9
 OX   XXO,5
X O O XX ,4
X   O OXX,3
  X   O  ,1
O X XOOX ,2
 O   X  X,3
         ,4
     X   ,2
 XXOOXO  ,1
 XXXOOOOX,1
X        ,8
         ,2
        X,2
X       O,4
XX   OXO ,3
OXXXOOOX ,9
  OX  OXX,5
  OX     ,9
  XXX  OO,7
X  OO X  ,6
  O X   X,1
O   X   X,7
 X XXO  O,3
X XOXOO  ,2
X X O  O ,2
XX      O,3
      X  ,5
  X      ,1
 XXOOX O ,1
XOX  OXXO,4
O X      ,6
  X  O   ,1
O OX XX O,5
  XO     ,2
 XO O  XX,7
O XX O X ,2
OX    XXO,5
 O   X  X,3
OXOXX  O ,6
 OOX XXO ,1
      X O,4
X    O  X,5
        X,1
         ,1
XO OX  X ,9
         ,5
XOO  XOXX,5
 O   X   ,4
OXX  O  X,8
  X XX OO,7
O  XX    ,6
 OOXX XOX,1
 OXXOXOXO,1
OO XOXXX ,3
         ,8
 OX X    ,7
         ,7
OXX OOXOX,4
  X      ,5
   O   XX,7
OXX  XO O,4
OXO OXXOX,4
 OX     X,6
 O   XX  ,5
  O    X ,6
         ,9
 XO    XO,5
X X OO  X,4
OO  X X X,3
O O  XX X,2
 XX OXOO ,1
 OOXOXXX ,1
  OXX OXO,2
X     OX ,6
OX XXOOOX,3
     O X ,9
X        ,6
 X O X  O,7
    O X  ,8
XO OXXXO ,3
         ,7
     OX  ,5
 XO OXX O,1
X OX O X ,9
 XOXOOX  ,1
XO  XOX O,3
   O  X  ,5
         ,6
  OX   X ,7
      X  ,4
  OX X  O,5
   O   XX,7
OXOXO X X,8
         ,9
OO X X   ,5
     X   ,9
  XO   OX,6
XO  X XOO,3
     XO  ,8
     O  X,8
X X   OOX,2
     X   ,4
O XX X O ,5
 XOX  XO ,1
 X   O  X,3
   OXXOOX,1
X OXOO X ,7
        X,5
XXO OX   ,7
 O XX    ,6
OXXXOO OX,7
XOXOO  XX,6
XXOOXXO O,8
        X,2
     X   ,1
         ,2
       X ,4
O   XX   ,4
XO       ,5
X O OXXOX,2
 X  O    ,9
      X O,8
X X   O  ,2
X X OOOXX,4
O XO  X  ,5
  X  OOXX,2
O X   XO ,5
O  O   XX,7
   XO  X ,6
 OX      ,9
OXXX  OOX,6
X   O  X ,7
  X  X O ,9
 XX   O  ,1
  OXO  XX,7
         ,7
 OX O  XX,6
    X    ,8
OX O  X  ,3
  X OXO  ,9
XOO   OXX,5
XXO    O ,5
XXO XXOO ,9
      XO ,1
 O  XX O ,4
OO XOX X ,3
 XO      ,8
         ,4
X XXOOOOX,2
 X  OX   ,1
 OXX OO X,1
OXO   XOX,6
     X   ,2
 X       ,7
X X OOOX ,2
XXOX    O,6
X      OX,5
X      O ,2
OX      X,8
   XOXO X,3
O XXOXOX ,9
         ,8
         ,8
X  X O   ,7
  OO   XX,7
      X  ,2
O   X X O,3
XXO XXO O,8
   X O   ,3
 XXO  OXO,1
XOO  X  X,5
    X    ,1
      X  ,5
   O  X  ,1
X  O     ,8
 XX O  OX,1
         ,9
OO    X X,8
 OOXXOXX ,1
  X   XO ,5
  X   XOO,5
 X XOOXO ,1
 XO  X O ,1
   X     ,3
X    OX  ,4
   XX  OO,6
  X O XXO,1
   XX O  ,6
XO OX XO ,3
XO      X,5
      X  ,4
      X  ,5
  O X X  ,6
         ,8
         ,7
   X     ,7
         ,5
 XOXO  X ,7
