board,decision
 XXOXXOO ,1
         ,3
XX X OOO ,3
    OX  X,3
XOX OX   ,8
 O X     ,5
 XX O    ,1
  X      ,5
 O O XXX ,9
OXO  X   ,5
 X  X O O,8
XOO  O XX,5
XO X     ,7
 XXXOO  O,1
 X  O X  ,9
  OX O X ,9
         ,3
 X   O   ,5
 X XO X O,1
X  XX  OO,7
X   O    ,5
  OXO   X,7
   X     ,5
 OX X OOX,1
O X O   X,6
 O   X   ,7
X  X O XO,3
OO XOX XX,3
 X       ,5
XO  X    ,9
XXOX OO X,5
X  OO X  ,6
 OX   O X,6
X X  OX O,2
 XO  OXX ,9
 XOO XOX ,5
 XOOXXXOO,9
 OXXO   X,8
XX  O    ,3
XOO X OX ,9
    O  X ,9
OXXX X OO,5
         ,7
OXXOO XX ,6
OXXOOX X ,7
  XOXO XO,2
  XX  O  ,5
   X XO  ,5
  X   XO ,5
XOXO X   ,9
OX X     ,7
X   XXOO ,9
  X  O OX,7
 XO      ,7
         ,5
  O  XOX ,5
   O X X ,7
 OOO XXX ,9
XOX OXOXO,4
   XOXX O,1
 OXXOOX  ,1
O X XX OO,4
 X       ,5
     XO  ,9
         ,3
X  O  O X,5
OO  X XX ,3
XXOOXOX  ,9
OO   XX X,3
     X   ,5
OXX  O OX,7
X OO X X ,9
 X       ,5
       X ,5
X   O OX ,3
 X O XOXO,5
OXO  O XX,5
         ,7
X  O  O X,5
        X,5
     O  X,9
X XOOXX O,2
  X      ,5
XX XXO OO,3
X     O  ,5
X        ,5
  X      ,5
OX      X,5
XXO   OX ,5
      X  ,5
 X O     ,3
         ,3
X X OO XO,2
XXOOO XOX,6
 XO     X,7
  X O  X ,1
X        ,5
         ,3
XX  OO   ,3
 OOX  XXO,1
         ,7
 O X  X  ,1
 XXO X  O,1
X OOXOXX ,9
     X   ,5
OXXOXX OO,7
    O  X ,1
    X  O ,9
         ,3
      OX ,5
   X  O  ,5
O  XX   O,6
 OXOO XX ,9
OOXXX OX ,6
 O OXOX X,1
  XXOOO X,1
X XOOXOXO,2
XOXOXXO O,8
    XO OX,1
         ,7
         ,1
         ,9
OXX O OX ,4
 O  X    ,7
 X   OX  ,5
X OOOXXXO,2
       X ,5
    X    ,5
         ,3
 OXOOXX  ,9
     XOX ,9
     XO  ,7
XO   XXO ,5
 X XXO OO,3
  X  XOO ,9
O  XOX  X,3
      X  ,5
X XOXXO O,8
 OX O  X ,3
       X ,5
X        ,5
XOXOX  XO,7
XOXO XXO ,5
OXXXX  OO,7
      XOX,3
         ,7
       X ,5
O X  XO  ,9
 X XOXOO ,3
  OXX X O,6
 X O     ,1
X   XOO  ,9
   XX O  ,6
X XO  OOX,2
OO   X X ,3
OXO  OX X,8
OOX O X X,6
 O  O XX ,9
         ,3
 OOX OXX ,1
XO  XXO O,4
   X     ,5
         ,9
X   O    ,1
   X     ,5
     X   ,5
X O OXXO ,4
 O   XXXO,3
         ,9
X X   O  ,2
OXX  XOXO,4
    OXO X,3
O OX XO X,5
 O X XX O,1
XX X O O ,3
 OX  XO  ,9
     O X ,9
XXOOX O  ,8
OO OX XX ,3
       X ,5
OX       ,7
   X   O ,1
X      O ,1
 XOOXX O ,5
    X    ,5
O O XX  X,2
         ,1
XOOXOO XX,7
    X    ,5
  XX XOO ,9
 XXOOX XO,1
OX   O  X,3
  XXOX O ,2
 X      O,3
         ,1
 X     OX,1
X XX OO  ,2
 XX  O O ,1
  OX XO X,5
    X    ,5
OX  X    ,8
 OXX O XO,1
XXO  X OO,7
      X  ,5
    XO   ,5
X  X O   ,7
XOXO  XOX,5
 OXOXO  X,1
     X   ,5
      X  ,5
X XXOOOOX,2
XO  XX O ,4
         ,3
      X  ,5
OOXO XXX ,5
O   XX   ,4
X     OX ,5
XO  O XXO,4
 X      O,1
 O X    X,1
XO       ,3
  OOOXXX ,9
O O XX XO,2
       X ,5
 X    OX ,5
XX  OXOOX,3
OX  XXO  ,4
   O  X  ,9
 OOX   X ,1
X        ,5
  X OX XO,1
      X O,3
 OXX OXO ,1
         ,1
OXO X    ,8
  XX OO X,1
O OX  X  ,2
 XX OXO O,1
XOXOO OXX,6
   XOX   ,1
XO XX  OO,6
O XXXO O ,7
  X      ,5
    OX   ,1
XX O OXXO,3
    X    ,5
 XOXX  OO,6
OO X    X,3
  X  O   ,9
XXO      ,1
O XX XXOO,5
O  O XXX ,9
         ,5
O OXX  XO,2
 X       ,5
XX    XOO,3
  X     O,3
         ,9
XOXOXO XO,7
OX O  X  ,7
XXOXO  XO,6
         ,3
O   OXX X,3
 XO XOO X,1
 OXO X X ,9
         ,5
OX  OXXOX,3
OXXO X   ,7
         ,7
         ,9
 X       ,5
 OXX   XO,3
  OX X   ,5
 X       ,5
X OX  OOX,5
  XO     ,9
      X  ,5
 O    OXX,1
   XOOXXO,1
OXXX X OO,5
 XO   XXO,6
  O  X X ,9
O  O XXXO,5
OX X  OOX,3
  XXOX OO,1
XX OO XXO,6
     OX  ,1
         ,1
 XO  XO X,5
      X  ,5
O OOXXXXO,2
XO O   XX,5
  X      ,5
OXXXXOO O,8
XO O  X  ,3
         ,3
 XX OOX  ,4
  XX  O  ,5
  X      ,5
X  O     ,5
OXO  O XX,5
  X      ,5
OXOO X X ,5
       X ,5
X   XOX O,3
   X  O  ,7
X        ,5
 O XX    ,6
         ,3
         ,5
OOX XOOXX,4
X XX OOO ,2
 X O   X ,5
 OXXXOOXO,3
 OO X X  ,1
XOXOXO XO,7
 X       ,5
X    O  X,5
   O  X X,8
XX   OOX ,3
   OXX O ,1
 OX X OOX,1
X   O OXX,3
O OOX XX ,2
 OXX     ,7
O X   X  ,5
         ,7
         ,9
XXOXO  XO,6
  OO  XX ,9
X    X  O,1
  X      ,5
 O      X,1
 OXX     ,3
OXX  XOXO,4
 X  XOOOX,1
  OXOOX X,1
         ,3
         ,7
X  X O XO,3
 O  O  XX,7
XOXOO X X,6
O OX XX O,5
OO   X XX,3
 O    X  ,3
O XXX  OO,6
O  XXO OX,1
         ,9
       X ,5
OX X X OO,5
OOXXOX   ,9
   X    O,3
O X     X,6
   X O   ,3
         ,9
 O X  XO ,1
         ,3
 OX X    ,7
XOX  O   ,9
   OX XO ,3
 O XOXXXO,1
       X ,5
 O    X X,8
  OOXXX  ,5
         ,9
XXOOX XOO,6
XXOOXXO O,8
X XXOO  O,2
OXX      ,7
XOOX O X ,7
  OOX   X,1
X        ,5
X        ,5
 XOX    O,6
  X    O ,9
O    XOX ,4
 X  O  X ,5
 O X OX X,1
XOX  O   ,9
OO OXX XX,3
   XOX O ,2
 XX OOO X,1
  O    XX,7
X OOXX XO,2
OOXX OXOX,5
 X  OOXOX,4
         ,3
X OOX XO ,9
  OXX  XO,6
  X      ,5
 O    X  ,3
 XOO X  X,9
O     XX ,9
  O OXXXO,1
 XX    OO,1
   X OX  ,1
    XOO X,1
XO XXOOX ,9
     X   ,5
OO  XXO X,3
 XXO  OX ,1
X  O X O ,1
   X  X O,1
 OXXX  O ,6
 XOXO   X,7
X  OO X X,6
X        ,5
X   X O  ,9
X  XOO  X,7
X  O   X ,9
   OX  OX,1
XO XOOOXX,3
O XX OXXO,5
O   XOX  ,3
         ,5
         ,3
      X  ,5
X OX XOOX,5
 OX      ,7
 O  X  OX,1
XO    X  ,4
         ,7
X X  OX O,2
X OX OO X,5
    X O  ,9
XX  OOOX ,3
O  XO XOX,2
XO OX XO ,3
O   O  XX,7
OO XX XO ,3
  XO    X,6
OX XXOXOO,3
XXOOX XO ,9
O XXO  X ,9
XO  OXXXO,4
  X X  OO,7
    X    ,5
O X  X   ,9
       OX,1
 O OXX  X,1
 XXX OOO ,1
 X       ,5
     OX  ,5
OX X OOXX,5
XOX   XOO,4
      OXX,1
         ,3
 OOXX X O,1
   XO OXX,3
X OX XOOX,5
    X    ,5
    OX X ,7
XOO  XO X,5
XX   OOOX,3
X        ,5
XOOX X   ,5
XO   XXO ,5
XOOX XOOX,5
XO  XO XO,3
X X    O ,2
XOX  O OX,5
     OX  ,7
      XO ,9
   X O   ,9
OOXXXOO X,8
XO     X ,3
 XOO XXXO,5
 OOOX X X,1
O  XX  O ,6
OX X X  O,5
X X X OO ,9
XO O OX X,5
     XXO ,9
    XO   ,9
X  OX  O ,9
     X XO,5
   XXOOXO,2
         ,7
     X   ,5
XO  O X  ,4
  O X    ,3
 XO OOXX ,9
  X      ,5
O OX X   ,5
 O   X  X,3
X     OX ,7
OX  XOXOX,3
XOOX  O X,5
      X  ,5
 X      O,1
 OOXXOOXX,1
  OXXO X ,9
X        ,5
 OX  X   ,9
X        ,5
  O  OX X,8
       X ,5
   X OXO ,1
         ,5
         ,7
   O   X ,5
X   O    ,1
 O OX OXX,1
 XXO O  X,5
 O      X,5
 O  XX   ,4
         ,3
O O XO XX,2
  XXXOOXO,2
 X     OX,7
X X  OXOO,2
   OX   X,1
   O   X ,1
X O      ,3
    X O  ,3
OOXX    X,6
  X O   X,6
 XXXO O  ,1
  X     O,9
      XXO,5
XOX    OX,5
 X   OXXO,3
  X      ,5
X  OO  X ,6
O    X   ,5
XX XOX OO,7
O      X ,1
 OX  XXOO,5
         ,1
 XX OOX  ,4
O   X O X,4
        X,5
X   X   O,7
XOO  X  X,5
XOXOX    ,7
OXX  OXOX,5
         ,9
 XXO    O,1
 X O XO  ,1
 X   XO O,8
  O XX O ,4
X OXX OO ,6
OX XX OOX,6
       X ,5
OOX   X  ,5
