board,decision
 O XO   X,8
        X,5
O XO    X,6
         ,7
     X   ,5
 XOOX XO ,3
XO   X   ,5
  X      ,5
 X       ,5
   X  X O,1
 XXOX OO ,1
 OXX OXOX,5
      X O,7
X  XO    ,7
O    X XO,5
         ,9
    X    ,5
 OOOXXXXO,1
OO OXXX X,3
         ,1
O X XX  O,4
   X X O ,5
OXX O O X,6
OXO X XO ,1
      X  ,5
 XOO OXX ,5
 X XOOXXO,1
  OO X  X,5
OX   XOXO,5
X   XO   ,9
 X       ,5
XO X  OOX,5
OX     X ,5
X        ,5
X X  O XO,2
        X,5
OXOO  X X,8
 OX OX   ,9
XO O X OX,3
       X ,5
XO X     ,7
  XXOOOX ,3
X O X   O,6
OOX OXXX ,9
X XOOX O ,2
 X       ,5
         ,5
 O   X   ,3
O X X O X,4
  X      ,5
XOXX   OO,7
         ,1
XO   X   ,9
    O  X ,1
   XOXXOO,1
X     O  ,9
   OX   X,1
OXXX OXO ,5
 XOXOO  X,7
        X,5
XX  XOOO ,3
XX  OO X ,4
OX  OXXOX,3
OXO O XX ,9
    X OOX,1
  X      ,5
 X       ,5
 X  O O X,3
OOXOXX   ,7
         ,9
         ,9
XX O OOXX,5
   OX   X,1
OXO  XXXO,5
 O  X   X,1
 X  O  X ,9
XX X O OO,3
XXO   O  ,5
 XX OX O ,1
 O  OXX  ,8
  X      ,5
XO  OX  X,8
OXOOXOX X,8
XOOXOO XX,7
         ,3
XXOO XO X,5
OOX XX  O,4
OX XOXOOX,3
   X     ,5
   X     ,5
    XOX  ,3
     X   ,5
  XXO XO ,2
X        ,5
X  OXX O ,9
OXXXOOXO ,9
X XOOXO  ,2
O   X X  ,3
  X O   X,6
   X     ,5
O      XX,7
   XOOX  ,1
  O  X  X,7
O  X X XO,5
X  OXO   ,9
X   O X  ,4
         ,9
         ,5
X     X O,4
 OOXXO X ,1
  X      ,5
X   XO O ,9
 X       ,5
X XO     ,2
         ,5
XX OO OXX,3
XOO XXX O,4
OXXX OO  ,7
XX  O  O ,3
         ,3
 XOXOX   ,7
 X XO XOO,1
 O   XX  ,7
         ,1
XXO XX OO,7
   X XO  ,5
X OOXO X ,2
         ,9
X   O    ,9
 XXXOOOXO,1
XOXX X OO,5
         ,3
         ,9
   OX   X,1
 X  O   X,3
O XXOOXX ,9
 OX   OX ,9
    X    ,5
  XO OXX ,5
  X O OX ,5
      X  ,5
 OX  OOXX,7
    X    ,5
X O     X,5
  O  X   ,9
         ,5
X O X    ,9
     OX  ,5
 XO   XXO,6
XOX   XOO,4
         ,5
 X       ,5
 X   O OX,1
         ,9
     X XO,1
 O  XXOOX,1
    XO  X,1
O X X OX ,4
XOOXX  O ,6
OXXXOO OX,7
 X       ,5
O XO XX O,5
 OXO   XX,6
 O X OX  ,1
  OXX  XO,6
         ,7
OX OO X X,8
O X    OX,6
O   XXOX ,4
  O X  X ,2
  XOXX OO,7
   X     ,5
         ,7
X XO OXOX,5
         ,5
   XXOOX ,2
  X  X O ,9
  X    XO,9
    O  XX,7
 O  XOXOX,1
  XOX O  ,1
O X      ,9
XXO OXXOO,4
  O  X   ,1
OX       ,3
         ,7
 X    OX ,5
         ,1
       X ,5
  X      ,5
X OO O XX,5
 XXXXOO O,8
OX XXOOOX,7
 OOX  XOX,1
XXO O  XO,6
   XXOOOX,1
X  O   X ,3
   OX XO ,3
XOXXO OX ,9
    X    ,5
XO O OX X,5
   X   OX,3
     O X ,5
    XO  X,1
OOXO   XX,6
     X   ,5
         ,1
  XXO    ,1
         ,3
 XO O   X,7
X XO OX  ,5
  X  X O ,9
XXOOOX   ,7
   OXX OX,1
 X  XXOO ,9
   O X   ,5
XOOXOX  X,7
X        ,5
         ,7
   XX O  ,6
O   X    ,5
O X XXO  ,4
    XOXO ,3
         ,3
X  OO  XX,6
    XO   ,9
XXOO XX O,8
 O   OX X,8
 XXOX  OO,1
   OX X  ,3
XX O     ,3
         ,3
O  X XO  ,5
       X ,5
  X      ,5
   X     ,5
   O  XXO,5
  O  XOX ,5
 X   X O ,9
  O    X ,1
 X   O OX,5
   XOO X ,1
XOO XOXX ,9
XXO XO   ,9
       X ,5
X XXOOO  ,2
X        ,5
X   O XO ,4
XOX  O   ,5
X  O XOOX,3
 XO  X O ,1
   X  OOX,9
OXXO X XO,5
         ,5
         ,9
 O X X  O,5
OXXXO OOX,6
O OXX OX ,2
O  O X XX,7
 XXXOOO X,1
  OX  X  ,1
X  XO O  ,3
 OXXXO   ,7
 X OX OOX,1
X  OX OX ,2
X XXO OOX,2
         ,7
     X   ,5
X   O    ,9
O  XXOO X,5
      X  ,5
OX  OXOXX,3
O  X     ,7
  XO OXX ,5
  X   O  ,9
  XX OOX ,1
 X X OOX ,5
 XXOOX   ,1
  O XXOXO,2
  XOXO OX,1
         ,9
   OXX   ,1
X  OO  XX,6
O  XXO X ,2
XOX XXOO ,9
  X X  O ,7
         ,1
 O XXOX  ,1
  O O  XX,7
         ,7
X  OO XXO,6
  XXOX  O,1
       X ,5
     XXOO,5
OXXOO  X ,6
      X  ,5
         ,3
 OX  XO  ,9
O   O X X,8
 O  O  XX,7
  XXX  OO,7
  X      ,5
 XXO     ,1
 XO O X  ,1
         ,9
XX XO OO ,3
         ,7
         ,3
  XX OXOO,1
  OOOXX X,8
  O X O X,1
XX XOOO X,3
OO XXOOXX,3
 OXOX    ,7
X O XOX  ,9
OXO  X OX,7
XXO  OXO ,4
         ,1
O XXO  OX,6
 O XO XXO,1
X XO OXO ,2
XX OXO   ,3
    XO OX,1
X O   X O,4
 OOXX XOX,1
O XX XXOO,5
OX OOX X ,7
  X   XOO,5
O XX XXOO,5
     XO X,3
 OO X XXO,1
O      X ,9
O XX X OO,5
  XO   OX,6
OX   XOX ,4
XOXOXXOO ,9
 OO X XOX,1
         ,1
         ,7
X O XOX  ,9
XO OX  XO,5
X  XXOOO ,9
 XOO X X ,5
 XO O  X ,7
O XXXO O ,7
 OOXX O X,1
      X  ,5
OO OX XX ,3
 XXO  XO ,1
   OXOX  ,3
OX    X  ,3
 O X     ,5
        X,5
OO  XX   ,4
       X ,5
 OX   OXX,6
XOOX OOXX,5
 X   O   ,9
         ,9
XXO  XOOX,5
XO   OXOX,4
XO O X OX,3
 OOX XX O,1
XO OO X X,8
     X   ,5
        X,5
O O XXO X,4
O     XX ,9
OO  XX X ,3
O OX XX O,5
 XXO XOXO,1
OXX O XO ,9
OX    X  ,1
 OX   OX ,7
O X      ,7
 X       ,5
  O  XX O,3
O  X  X  ,9
OX XOXOOX,3
X  XOX O ,2
   X     ,5
OX  XO   ,8
O O X   X,2
XO X OO X,5
  XO  XOX,5
X OO O XX,5
  X      ,5
OXXOOX X ,7
    X    ,5
 XX  O  O,1
 OX   O X,6
   XOOX  ,1
O XOXX  O,7
   X O   ,9
 XOOOXX  ,7
X OXO    ,7
OXXXOO X ,9
       X ,5
  X    XO,1
XX O XO  ,3
     XO X,3
X    X  O,5
 X  O X  ,3
OXX OXXO ,9
XX  O OOX,3
 OX  XX O,5
X   O   X,1
XX   O O ,3
X XXO OOX,2
X OXX OO ,6
  OX     ,7
 XO      ,1
  X  O   ,7
 XXXXOOO ,9
 X O O XX,5
OO  X X  ,3
OXXO X  O,5
  X   O  ,3
    O   X,7
XX OOXOOX,3
O  X   XO,5
 XXOXOO X,1
  X     O,1
   OXXOX ,1
XOXO OXXO,5
X X OXXOO,2
  OOXXXOX,1
 XOX XOO ,5
X  O     ,5
         ,5
X  X O  O,7
 O X O X ,7
 XOX  X O,6
 X   OX  ,7
XO  OXO X,3
 O   X   ,1
     OXX ,9
         ,9
  X OX   ,9
 X  XX OO,7
XO X   XO,7
   X     ,5
   X     ,5
 X     XO,5
 XO     X,5
XXOXO  O ,7
OXXO OX  ,5
XXO      ,3
    OXOXX,3
O  X   OX,3
       X ,5
XX O OX  ,5
 O   X   ,3
X O   X  ,4
      X O,9
  X    O ,9
 XX   O  ,1
       X ,5
XX O   O ,3
O X   O X,6
OX O OX X,8
X        ,5
 O XXOOX ,5
 XXOO XO ,1
 O  XX  O,4
XX    OO ,3
XX OO   X,6
   O X   ,9
O O XXX O,4
  XOX O X,1
OOXX OOXX,5
   XXO OX,1
         ,7
 OX X   O,7
OX OXX OX,7
         ,5
    OOX X,8
         ,9
 O  XOX  ,3
 OO    XX,7
 O X    X,1
O  O XX X,3
XO  XX O ,4
X        ,5
XX O OXO ,3
O   O  XX,7
O XO    X,6
XXOO OX X,5
OXOX OXOX,5
     O X ,3
X X O XO ,2
 X  O    ,3
XOX O X  ,8
X        ,5
         ,3
        X,5
XXOOOXX  ,7
 OO    XX,7
 X XOOXXO,1
    X    ,5
XOX OO XX,4
  XO  X  ,5
XXOXXOO  ,9
 XOOX    ,8
O OXX OX ,2
OX  O XX ,9
         ,5
XX O  OXO,3
X  XOXOOX,2
OXOXXO OX,1
 O OX   X,1
         ,5
X X    OO,2
 XXO  X O,1
  X OOXX ,4
 OOX X  X,1
XOO  XOXX,5
X OOOXXOX,2
X  OXO X ,2
     X   ,5
    XXO  ,4
  X     O,3
OXOX  OXX,5
O  X    X,1
OX       ,3
X      OX,5
 OO  XX X,1
         ,3
XXOOO XXO,6
X    X  O,1
XOX  O   ,7
      X  ,5
 XOX  OXO,5
OXOX XO  ,5
XOO O XX ,4
 O XOXXXO,1
       X ,5
XOOOXXXO ,9
  X  XO  ,9
   XX OO ,6
 OXX OX O,1
X    OXXO,3
XOO XOX  ,4
         ,9
  X      ,5
     XO  ,3
X XXO  OO,2
OO     XX,7
  X  O  X,7
  O    X ,3
         ,9
X X OXOO ,2
         ,3
OXXO OXXO,5
     X   ,5
XOOX XOX ,5
         ,5
 O   X  X,3
O X   OXX,4
X   O    ,1
XOXX OOOX,5
XXO OOX X,4
X   OOXXO,4
         ,9
X OXOX OX,2
       X ,5
         ,1
OXXX XOO ,9
X     O  ,9
 XX O    ,1
        X,5
   OOXX X,3
XOOOXX XO,9
         ,7
X XOO  X ,6
         ,5
OOXOXX   ,7
X        ,5
 XXOX OO ,1
  O XX OX,1
O OX XXO ,5
    X O  ,3
   OXX   ,1
X  X  O O,8
         ,7
XOO  X  X,5
 O XX OOX,1
OO OXXXX ,3
     X   ,5
 XO  XOX ,5
 O   XOX ,7
      OX ,3
 OOX XX O,1
  XXOOOX ,3
 OXX     ,1
    XX O ,4
    X    ,5
         ,7
OXO XOXOX,4
X O  X   ,5
X        ,5
XOXOXO XO,7
  XOX    ,7
O X   OXX,4
         ,3
   XO  OX,2
O  OXO XX,2
 OX X  OX,1
XO     OX,5
   XXO   ,9
XX  O OXO,3
 XXO    O,1
   X  O  ,3
    OXO X,3
OOX O XX ,9
         ,3
X OO XXOX,5
    OX   ,3
   X   O ,1
OX X XO  ,5
O  XXOX O,3
OO XX O X,6
OXOX  X O,5
 X   OX  ,1
 X       ,5
X XOO  X ,6
  XO OXX ,5
XOXOOX XO,7
         ,5
XO  X    ,9
 X  O X  ,1
 XXO O   ,1
X XX   OO,7
      OXX,5
OXO X  OX,7
XX      O,3
OO XX  X ,3
O  OXXX  ,3
  X  XOXO,3
OX       ,3
         ,1
X  O    X,5
         ,3
   XO X  ,1
   O   X ,7
    XOXXO,3
   XX O  ,6
 OOOXX  X,1
  OX XOOX,5
 O XX   O,6
  X    OX,6
     X   ,5
X     O  ,1
OXXO X   ,7
OX XOXOOX,3
     X   ,5
O       X,1
 O X OXXO,1
         ,7
         ,1
OO  XOXX ,3
  OX  O X,5
         ,5
 O  XXO  ,4
 X       ,5
         ,7
 XO    X ,5
 O OXXOXX,1
         ,3
 XO   OXX,5
  O XO  X,1
X X OXXOO,2
XO    X  ,4
 X OXO   ,8
   X    O,1
OOX X    ,7
 X  O    ,9
XO X XOOX,5
 OX XX OO,4
         ,7
XO  OXX  ,8
X OX O OX,5
 X X O O ,5
         ,3
         ,1
    OX  X,3
X   OO XX,4
        X,5
    X    ,5
 XX O O  ,1
XXOOO   X,6
XXO O   X,7
 OX O  XX,6
X  X   OO,7
 XX O X O,1
OXXOO   X,6
         ,3
 XXO   O ,1
OXX  XOXO,4
         ,5
 OO X XXO,1
O  XX    ,6
X    O   ,5
X     O  ,9
     X   ,5
     X XO,7
XOOO XXXO,5
 O     X ,9
 OXOX OX ,1
XOXOX   O,7
   OXOX  ,3
   OOXX X,3
  X    OX,6
 XXOO  OX,1
   OOXXX ,9
XO  XX  O,4
         ,3
 X       ,5
OXX     O,5
OXO XXOOX,4
OXO  XOXX,4
 X O  OX ,5
O  XXOOX ,2
         ,5
  O XXO  ,4
     X   ,5
  XO XXOO,5
XOX X O  ,9
 X       ,5
 O     X ,3
OX       ,7
O  O  XX ,9
   O  X  ,1
OOX   XOX,5
XOX   X O,4
   OX X  ,3
 O O  X X,8
 XX OXO O,1
         ,7
         ,5
O XO  X X,5
X X O O  ,2
  XOX O  ,1
     O X ,3
XX     OO,3
 O XXO  X,1
OXOXX   O,6
OXXX   O ,5
  XX O   ,1
 X   OXXO,3
    X    ,5
 XXO OXXO,5
   X O   ,5
X  OOX   ,5
XXOO OXOX,5
XX  X O O,8
OOX   XOX,5
O     X  ,7
   XO    ,7
 OXOX  OX,1
   XX O O,6
    OXX  ,3
     O X ,3
    X    ,5
O X  X O ,9
 O OX OXX,1
 O  O  XX,7
 XXO OX  ,5
   X     ,5
 XOXO XXO,1
 OXO  XOX,5
  XXO    ,1
X        ,5
 X      O,5
 O O XX  ,5
O  X O XX,7
    O X  ,1
 XOO   X ,5
OOX X  X ,7
       OX,7
   XOXOXO,1
XOOX XO X,5
OXO XOXOX,4
  XX   O ,3
 X       ,5
         ,7
     X   ,5
X    X O ,9
 X      O,9
         ,1
 O X     ,3
O   X    ,9
X XO     ,2
O    X X ,7
  OX   XO,6
         ,7
OOX   XX ,5
         ,9
  XO    X,6
  XO     ,3
XX XO  OO,3
O OOX  XX,2
    O XXO,1
O OX O XX,7
OO  X  X ,3
         ,3
O   XO  X,9
         ,1
O O X X X,2
   XO    ,3
       X ,5
    OXOXX,3
 O  X OX ,9
 O  X    ,3
 X O X O ,1
O OX XXXO,2
XOXOX  XO,7
O   XOOXX,2
 X  O    ,9
 X OOX OX,3
O X OX X ,9
O    OXX ,9
X OX O   ,7
 X O XOOX,3
X XOXO O ,2
  OXX XO ,1
O  X   X ,7
 OXO X X ,9
X X OXXOO,2
  OOXXX O,3
 X X O   ,5
XX O OXO ,3
        X,5
  X OXOX ,9
  XX O   ,3
OXOXXOO X,8
XOXOO   X,6
X  X O O ,7
XX O     ,3
   X X  O,5
OXO XXO X,4
 OXOX OXX,1
XXOOXXO  ,8
O X O XX ,9
O OOXXXOX,2
XOX OOX X,4
X X  O   ,2
    X OXO,2
OXOXX XOO,6
 XXX  O O,8
O XOX  X ,7
  X  O   ,5
 OX O   X,6
         ,1
OXX OOXX ,4
X        ,5
O X X OXO,2
O  X   XO,5
O   XXO  ,4
 XX O    ,1
   OXOXOX,1
XXOXO    ,7
X OX XOO ,5
 XOXO XOX,1
        X,5
         ,9
         ,5
         ,3
  X OXOX ,9
XOO XOX  ,4
XX O OXXO,3
    XOO X,1
X        ,5
 X  O OXX,3
O  X   X ,5
XO  O X  ,4
X O  OOXX,5
OX  O  XX,7
  XO  XO ,5
    X    ,5
  XXOX O ,2
XOXX O O ,7
OXOX X XO,5
  X      ,5
XO XOX  O,7
   X     ,5
  O    X ,7
    XX OO,4
  X  XO  ,9
 XXX  OO ,9
OX OX XO ,3
O X    X ,7
XX XOOOOX,3
 OXX  OXO,7
  XX    O,9
 XO  X O ,9
         ,3
XX  O XOO,3
XXO   OX ,5
 X  OXO  ,3
 X O OX  ,5
X X  XOO ,9
XO  OX  X,8
  X OXOX ,9
 OXOX   X,1
  O X O X,1
 X       ,5
   O    X,1
    X OXO,2
     X   ,5
         ,7
XX  OOX  ,4
XX   OX O,3
X X O XOO,2
XX  OX O ,3
 X    OX ,5
     X   ,5
XXO  OX  ,9
O X   X  ,5
OX  XXXOO,3
X XO  XOO,2
O  X    X,3
    X    ,5
 XX OXOXO,1
 O OXX OX,1
      X  ,5
         ,1
 XXO OOX ,1
         ,5
 X O    X,1
  XOXO   ,7
XO  OO XX,7
         ,3
 X X XO O,8
XOX XOOX ,9
X X     O,2
         ,1
     X   ,5
    X   O,1
OO X XX O,5
 X  OX  O,1
 X   O X ,5
  OX XO X,5
X O  XXO ,4
O  OXOX X,3
 X  XXO O,8
O X   X  ,5
 O  OXX X,8
   X     ,5
X  O XOX ,9
XX X OO O,3
         ,3
X O OXX  ,4
X XOX OO ,2
O O XOXX ,2
  XO   X ,9
    OXO X,3
  O   X X,8
XOXOOXX  ,8
   XX   O,6
 O   X  X,3
X  O OX X,5
X    X O ,1
OXXOO X  ,6
         ,1
  XO    X,6
  O     X,5
 O      X,3
XX O OXOX,5
X OX    O,7
  OX   X ,5
X OXX  OO,6
X OO  OXX,5
 O    X  ,5
   XO    ,7
 O X    X,3
  XOX    ,7
   X  O  ,7
         ,7
 XO  X   ,3
 OXXOOX X,8
 X  O X  ,5
 O   X   ,5
OXOX O  X,1
 XO XO   ,8
O XX     ,1
   XX OXO,2
XX O OOXX,5
O       X,3
 XXOXXOO ,1
O   OXX X,3
      O X,7
XOXO  O X,5
 OO XOX X,1
O X XXOO ,4
         ,5
O XO   XX,7
OOXXOXOX ,9
  O XOXOX,1
XXOOX X O,6
OX  XOXOX,3
X X  O O ,2
  O    XX,7
        X,5
  XO   X ,9
O O  X XX,2
OO X OXX ,9
  O XO XX,1
   X     ,5
O  O XXXO,5
 X   O   ,5
         ,9
 XX O O  ,1
    OOX X,8
   XOOOXX,3
    O  X ,7
         ,1
XOO  X  X,5
O XOXX O ,7
XOOO XXOX,5
XXOO     ,5
XXOOX    ,8
 XO X X O,6
OO X XXO ,5
  O    X ,1
         ,3
  X  XO O,8
X XO  XO ,2
         ,3
         ,1
X   OX  O,3
O  X  X  ,7
O X XO X ,2
 O OXO XX,1
        X,5
X  OXXOO ,9
O  X     ,5
 X       ,5
    O X  ,3
     X   ,5
OXXOX   O,7
         ,3
 O     X ,9
  O     X,1
XXO XXOO ,9
    XX  O,4
XO O OX X,5
  X      ,5
  X  O   ,7
X   O X O,4
XOOOXXX O,8
   X OX  ,1
   O  X  ,5
XOX    OX,5
   XOO X ,3
OOXOXX X ,7
X        ,5
   O X   ,1
 X  XO   ,8
OOXX     ,5
 X O XOOX,3
   X     ,5
OOXX  O X,6
         ,9
  X O    ,3
 XOX   XO,6
       X ,5
   OX    ,9
 O   XO X,3
XX     OO,3
 X   XO  ,1
XOO OXX X,8
X X  OOXO,2
O  O   XX,7
 OOXXO X ,1
     XX O,9
        X,5
         ,3
OXO   X  ,1
         ,1
         ,1
 OOOXX XX,1
   XX OO ,6
        X,5
 O      X,1
O XXX  OO,6
 X   XO  ,9
         ,5
         ,1
    XOX  ,3
 X       ,5
O  OX   X,7
         ,7
    XO XO,2
 X       ,5
O O  XXOX,2
   OOX X ,5
 X      O,9
 O  X    ,5
      X  ,5
 X       ,5
     X   ,5
    X    ,5
 XX    OO,1
O O X XX ,2
  X O X  ,5
     X   ,5
O X XO OX,7
O  X XO  ,5
         ,9
 X       ,5
O X    X ,9
  X    OX,6
   X     ,5
   O XO X,3
 OX OO XX,7
 OXOXOOXX,1
XXO OOXX ,4
         ,1
 X XO XOO,1
  X O  OX,6
    OOXX ,9
XXO  OO X,5
O O XX  X,2
X        ,5
  XXXOOXO,2
   OX XO ,3
  XOX    ,7
 OX      ,9
 XOX     ,7
X XOO X  ,6
X OO    X,5
 XX   O O,1
XXOO  XOX,5
 XO      ,1
     X   ,5
  XO   XO,5
   O X X ,1
    X    ,5
X OX OO X,5
 X    XO ,1
  X      ,5
  O XOOXX,1
  OXX  O ,6
X        ,5
  OXO  XX,7
XO  XOOX ,9
 O     X ,1
XOXOO  XX,6
  OOOX XX,7
     OX X,8
XXOX  OXO,5
X   X  O ,9
  X      ,5
    O  X ,1
     X   ,5
 XOX  XOO,1
   O XXOX,3
 O O X X ,9
     X   ,5
  O X XXO,6
 XOXXOO  ,8
XXOX  OXO,5
      X  ,5
         ,9
   O XX  ,9
OXO   OXX,5
X   XOX O,3
 OOX XX O,1
 X       ,5
 XXOXO  O,1
         ,5
OO XX    ,6
       XO,1
X   XXOO ,9
  OOXXXO ,9
X        ,5
 X OX  O ,5
         ,3
XX OXO O ,3
   XXOXOO,1
 XOOXOX X,1
 O    XOX,5
O     X X,8
      X  ,5
 X       ,5
  O  XXO ,7
X OO XXOX,5
 X  OX XO,1
XX X  OO ,9
   XX  OO,6
 X  O X  ,5
     XX O,1
X       O,9
X   O    ,9
         ,9
         ,3
   X   O ,7
    X    ,5
         ,1
     X   ,5
OX X X  O,5
X XXOOOXO,2
 O X X   ,5
OX O XX  ,7
OO  XX OX,3
X OO O XX,5
 XX OOOX ,1
 X  XO  O,8
OXX OXOX ,4
         ,7
 X X OXOO,1
 XX O O  ,1
OX X  XOO,5
  XOXXOXO,1
XX  OXO O,3
OX OXX   ,7
XO     XO,3
 O X OOXX,5
 XO      ,7
XOX O O X,6
   X     ,5
X  X  O O,8
    O X  ,9
O X OX   ,9
         ,9
OXX O  X ,9
  X      ,5
XXO OO XX,4
 X XOOOX ,3
X O O X  ,4
         ,9
OO  XX   ,4
        X,5
      XO ,1
O     X  ,3
    X    ,5
  XXOX  O,1
 X X O   ,3
    X    ,5
X        ,5
XOXO  XOX,5
 XXO  O  ,1
XOXX X OO,5
         ,3
 X  X OO ,9
 O XOX XO,1
      X  ,5
 XOOOXX  ,5
    O X  ,5
 O OX X  ,3
X OOX XO ,9
 XO      ,9
 OX O X X,8
 XX  OX O,1
  O XX  O,4
 X     O ,7
OOX   X  ,5
O   OX X ,9
OXOO   XX,5
X     OXO,5
X  X  OOX,5
  OOX   X,1
  O    X ,5
  X      ,5
XXOOO  XX,6
  XOO   X,6
OOXX OX  ,5
O   XX XO,2
OX O  XXO,5
XOXX OOXO,5
   X O XO,3
     O X ,3
OXOX X OX,5
XOOXOO XX,7
   X     ,5
 XOXO XOX,1
         ,5
 X     O ,3
 X       ,5
O  XOXXO ,2
 XXOO X O,1
XOXO OX  ,5
         ,9
   X  O  ,7
         ,7
         ,1
 XXXOXOO ,9
  X XOOOX,1
X        ,5
XXO X XOO,6
 X   X  O,7
O  X     ,7
XX   X OO,7
OXOO XXX ,5
X OX  O X,5
X    O   ,7
  X      ,5
    X OOX,1
    XXOO ,4
         ,5
         ,7
X    O   ,9
  XOX  O ,7
OOXO   XX,6
 O X  X  ,1
O  X  XXO,5
X   OX   ,9
 OOX XX O,1
         ,5
  X OOOXX,4
XX  OXOOX,3
  X X   O,7
XO  XO X ,9
         ,5
     X   ,5
XOO O XX ,4
OX   XO  ,4
   X XOOX,3
X  OX   O,3
X  X  O O,8
O  X     ,5
      OX ,5
  OOXX XO,2
O  X X OX,3
X        ,5
 OOX XOX ,5
XXOO  OXX,5
         ,9
O XOXO XX,7
  O  XOX ,5
    X O  ,7
      OX ,1
O XXO    ,9
 O X     ,5
    O  X ,3
         ,5
XO       ,1
OO     XX,7
XOOOOX XX,7
   XO    ,1
OX  OXO X,3
  X  X  O,9
         ,3
XOXO XOXO,5
O   X  X ,2
         ,5
X        ,5
  XO  X  ,5
 XOO  X  ,9
 X   OX  ,9
         ,5
X OXX   O,6
O O X   X,2
XOOXX OXO,6
    OO XX,7
X  OOX   ,3
         ,1
O O  X  X,2
         ,5
  X      ,5
       X ,5
OOX X  XO,7
X X  OXO ,2
OXX      ,9
       X ,5
OXXOOX X ,7
XXO X O O,8
 OX  X   ,9
       X ,5
XXOOX  O ,9
  OXO X  ,1
XOXXO OX ,9
XOO  XX O,4
  O   X X,8
 XX   O  ,1
OXO OXX  ,9
         ,9
OOXX    X,6
X    OX  ,4
OX X XO  ,5
  X O    ,7
X O  OXX ,9
    O X X,8
 XOOXX  O,8
         ,3
    O  X ,5
OXX X   O,7
XX   O  O,3
 XXX  OO ,9
X X     O,2
X OOXX XO,2
OX X OOXX,5
O O X X X,2
OXX   X O,5
X OXX OO ,6
    X    ,5
OXOOXXX O,8
   X     ,5
X  XOO   ,7
 XX OOX  ,4
   X XOOX,3
X O X OX ,2
    O  XX,7
         ,7
O  O  XX ,9
X   OOXXO,4
 O XX  O ,6
   XX XOO,1
  O X    ,9
OXXOO  XX,6
         ,7
         ,7
OXOXO  XX,7
    O  X ,3
   X     ,5
       X ,5
     O  X,7
       OX,3
   OXOX  ,3
O O XXXO ,4
         ,9
OX XX O O,6
 X  O    ,3
         ,7
 XXO  OX ,1
OO X X XO,5
O  X  XO ,5
         ,7
 OXXOO  X,8
    X    ,5
 OXOX OX ,1
  XO X O ,9
 O  X   X,1
OXX XXO O,4
      X  ,5
OX     XO,5
XX OOXXOO,3
 O   XX  ,9
       X ,5
XOO OXXXO,4
OXOXO XOX,6
OXO X X O,8
 X O     ,3
   OO X X,8
   O  X  ,3
OX X   OX,1
 OXXO O X,6
OXXX  OOX,6
  XX OO X,3
XO XO   X,8
 X OX  O ,7
OX   XX O,5
         ,3
      X  ,5
       X ,5
   OX X O,3
XXO   OOX,5
 X XXOO  ,8
         ,5
XOXOXOOX ,9
XO   XO X,3
  X      ,5
OOX  XXXO,5
 OO OXX X,8
O    X   ,7
     X   ,5
OXOXO XX ,9
X OO XXXO,5
      OX ,7
     X   ,5
   XO X O,1
 O   XOX ,7
  X      ,5
X  O OXX ,5
  XOXO OX,1
 XO O   X,7
         ,3
         ,7
O       X,1
X   XXOO ,9
X  XOXOXO,3
    O  X ,9
O  XXOOX ,2
    X    ,5
   X O  X,9
  X O   X,6
      X O,7
 OXOOXXXO,1
X OO  XX ,9
 XO XXO O,4
 OO   XX ,9
X O  XO  ,5
XX OO X  ,6
X OOXXOXO,2
    XO  X,1
X        ,5
X O OOX X,4
OOXXX O  ,6
XXO XXOO ,9
 OOX X X ,1
         ,3
   OXX   ,7
         ,1
         ,1
  OX X   ,5
 XX    O ,1
X XOXXOO ,9
  OX OXX ,9
         ,1
 O  XO  X,1
XOOO   XX,5
OXX O O X,6
 O  XO  X,1
XOO OXXXO,4
 X X XO O,8
 X   OOX ,5
    O  X ,7
         ,1
XO XO   X,8
     OX X,8
         ,1
O       X,5
  OO   XX,7
X XOX OO ,2
 X       ,5
XO    X O,4
XXO OO XX,4
 XX OXXOO,1
   X  O  ,5
O X X  XO,2
O XX  O  ,7
XXO    O ,9
O XXXOOOX,2
X        ,5
X    OOXX,5
X O  XXOO,4
X XOXO   ,2
O   XXO X,4
X  XO  O ,7
    OOX X,8
OXOXX    ,6
  OO XOXX,1
XX   OX O,3
OOXX X XO,5
OO X XXOX,3
O   XOX  ,3
 XO      ,7
O     X  ,1
OXO XXOOX,4
XXO XXOO ,9
 X X    O,9
OXXXOOXO ,9
 O   X   ,7
  X  XOO ,9
  X  O   ,5
OOX  XXXO,5
 OXOX  XO,7
 O   XOX ,7
O  X     ,9
 XX  O XO,1
XXOO  XXO,6
O  OOXX X,3
O OX  XOX,2
 OX OX   ,9
    OX   ,5
  X      ,5
XXO   O X,5
      X  ,5
O X X O X,4
         ,5
X XOXXO O,8
O  X  XOX,5
O     XX ,9
 X       ,5
         ,7
 X     O ,1
 O O XXX ,9
  O  O XX,7
OXO X X O,8
         ,7
       OX,9
X   XXO O,8
  X X   O,7
 O  X X  ,3
 OO  XX X,1
         ,7
 OOXX O X,1
X  O    X,5
OX  XXOO ,4
  X X   O,7
O   X OXX,4
 OXX OXO ,1
 OOX OX X,1
 O X   X ,3
   X  OX ,5
 O  XX O ,4
X O    X ,3
        X,5
XO X   XO,7
O XX   O ,9
OXOX   XO,5
  X O    ,9
XOOXXOOX ,9
 OX O   X,6
X O   XO ,4
         ,9
X OX O   ,7
XX  X OO ,9
 X O  X O,5
